depth,trees,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
,100,balanced,False,0.2,0.9936507936507937,0.0016666666666666666,0.1,0.00925547919816716,0.004999999999999999,0.15275252316519466
10.0,100,balanced,False,0.2,0.9936507936507937,0.0016666666666666666,0.1,0.00925547919816716,0.004999999999999999,0.15275252316519466
20.0,100,balanced,False,0.2,0.9936507936507937,0.0016666666666666666,0.1,0.00925547919816716,0.004999999999999999,0.15275252316519466
30.0,100,balanced,False,0.2,0.9936507936507937,0.0016666666666666666,0.1,0.00925547919816716,0.004999999999999999,0.15275252316519466
,100,balanced_subsample,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
,300,balanced,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
,600,balanced,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
,600,balanced_subsample,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
10.0,100,balanced_subsample,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
10.0,300,balanced,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
10.0,600,balanced,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
10.0,600,balanced_subsample,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
20.0,100,balanced_subsample,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
20.0,300,balanced,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
20.0,600,balanced,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
20.0,600,balanced_subsample,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
30.0,100,balanced_subsample,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
30.0,300,balanced,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
30.0,600,balanced,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
30.0,600,balanced_subsample,False,0.2,0.9928571428571429,0.0016666666666666666,0.11666666666666665,0.010618323936714021,0.004999999999999999,0.19075871903765995
,600,balanced,False,0.3,0.9920634920634921,0.0,0.16666666666666666,0.011771743630310584,0.0,0.24720661623652207
10.0,600,balanced,False,0.3,0.9920634920634921,0.0,0.16666666666666666,0.011771743630310584,0.0,0.24720661623652207
20.0,600,balanced,False,0.3,0.9920634920634921,0.0,0.16666666666666666,0.011771743630310584,0.0,0.24720661623652207
30.0,600,balanced,False,0.3,0.9920634920634921,0.0,0.16666666666666666,0.011771743630310584,0.0,0.24720661623652207
,300,balanced,False,0.3,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
10.0,300,balanced,False,0.3,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
20.0,300,balanced,False,0.3,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
30.0,300,balanced,False,0.3,0.9920634920634921,0.0008333333333333333,0.15,0.011771743630310584,0.0036324157862838947,0.22298480267099416
,300,balanced_subsample,False,0.2,0.9920634920634921,0.0025,0.11666666666666665,0.010647942749999011,0.00595119035711904,0.19075871903765995
10.0,300,balanced_subsample,False,0.2,0.9920634920634921,0.0025,0.11666666666666665,0.010647942749999011,0.00595119035711904,0.19075871903765995
20.0,300,balanced_subsample,False,0.2,0.9920634920634921,0.0025,0.11666666666666665,0.010647942749999011,0.00595119035711904,0.19075871903765995
30.0,300,balanced_subsample,False,0.2,0.9920634920634921,0.0025,0.11666666666666665,0.010647942749999011,0.00595119035711904,0.19075871903765995
,600,balanced_subsample,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.012772600745580225,0.0,0.26822461565718464
10.0,600,balanced_subsample,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.012772600745580225,0.0,0.26822461565718464
20.0,600,balanced_subsample,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.012772600745580225,0.0,0.26822461565718464
30.0,600,balanced_subsample,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.012772600745580225,0.0,0.26822461565718464
,300,balanced_subsample,False,0.3,0.9912698412698413,0.0008333333333333333,0.16666666666666666,0.013723505131579838,0.0036324157862838947,0.24720661623652207
10.0,300,balanced_subsample,False,0.3,0.9912698412698413,0.0008333333333333333,0.16666666666666666,0.013723505131579838,0.0036324157862838947,0.24720661623652207
20.0,300,balanced_subsample,False,0.3,0.9912698412698413,0.0008333333333333333,0.16666666666666666,0.013723505131579838,0.0036324157862838947,0.24720661623652207
30.0,300,balanced_subsample,False,0.3,0.9912698412698413,0.0008333333333333333,0.16666666666666666,0.013723505131579838,0.0036324157862838947,0.24720661623652207
,100,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
,100,balanced_subsample,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
,300,balanced,False,0.5,0.9888888888888889,0.0,0.2333333333333333,0.012397221707788347,0.0,0.2603416558635552
