UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991608592733000,1777991608586285000,0,Insert,D,1,D
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991608771135000,1777991608767380000,1,Insert,n,2,Dn
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991608864719000,1777991608860080000,2,Insert,e,3,Dne
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991609067936000,1777991609060587000,3,Insert,s,4,Dnes
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991609116971000,1777991609113200000,4,Insert, ,5,Dnes 
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991609306093000,1777991609299671000,5,Insert,j,6,Dnes j
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991609424457000,1777991609420574000,6,Insert,e,7,Dnes je
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991609527074000,1777991609516003000,7,Insert, ,8,Dnes je 
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991609744045000,1777991609737711000,8,Insert,k,9,Dnes je k
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991609884062000,1777991609879936000,9,Insert,r,10,Dnes je kr
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991610138063000,1777991610131977000,10,Insert,a,11,Dnes je kra
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991610383977000,1777991610377045000,11,Insert,s,12,Dnes je kras
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991610533033000,1777991610528889000,12,Insert,n,13,Dnes je krasn
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991610687741000,1777991610683846000,13,Insert,e,14,Dnes je krasne
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991610762456000,1777991610758682000,14,Insert, ,15,Dnes je krasne 
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991611051919000,1777991611045166000,15,Insert,p,16,Dnes je krasne p
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991611246044000,1777991611242041000,16,Insert,o,17,Dnes je krasne po
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991611466963000,1777991611460671000,17,Insert,c,18,Dnes je krasne poc
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991611724689000,1777991611715429000,18,Insert,a,19,Dnes je krasne poca
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991611945008000,1777991611941102000,19,Insert,s,20,Dnes je krasne pocas
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991612297023000,1777991612285367000,20,Insert,i,21,Dnes je krasne pocasi
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991612473992000,1777991612467195000,21,Insert,e,22,Dnes je krasne pocasie
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991613472117000,1777991613463990000,22,Insert,",",23,"Dnes je krasne pocasie,"
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991614222023000,1777991614211611000,23,Insert, ,24,"Dnes je krasne pocasie, "
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991614517467000,1777991614513746000,24,Insert,d,25,"Dnes je krasne pocasie, d"
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991614602633000,1777991614599833000,25,Insert,o,26,"Dnes je krasne pocasie, do"
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991614799635000,1777991614791555000,26,Insert,o,27,"Dnes je krasne pocasie, doo"
tQ67DG0meybtvwgtlI6rCkNYmU93,1,1777991615011599000,1777991615005395000,27,Insert,b,28,"Dnes je krasne pocasie, doob"
