UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615029099015000,1776615029069220000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615029521771000,1776615029516065000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615029867371000,1776615029862287000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615030066603000,1776615030062366000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615030758190000,1776615030752581000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615031091390000,1776615031086942000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615031248498000,1776615031244248000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615031543021000,1776615031538118000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615032349317000,1776615032338550000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,1776615032581155000,1776615032573405000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615069863220000,1776615069858313000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615070150339000,1776615070142972000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615070279365000,1776615070275283000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615070525425000,1776615070518525000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615070803418000,1776615070796242000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615071089171000,1776615071081576000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615071191650000,1776615071187467000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615071346071000,1776615071341373000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615071741339000,1776615071737480000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,1776615071852928000,1776615071846175000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615100670386000,1776615100666203000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615100806490000,1776615100802092000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615100933841000,1776615100928181000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615101169879000,1776615101162638000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615101328727000,1776615101324247000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615101571580000,1776615101564458000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615101685978000,1776615101681909000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615101833306000,1776615101828646000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615102149870000,1776615102143539000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,1776615102313103000,1776615102308552000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615123580343000,1776615123572385000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615123701314000,1776615123697110000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615123892688000,1776615123888374000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615124084508000,1776615124080119000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615124194248000,1776615124189793000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615124481948000,1776615124475697000,5,Insert,i,6,Dnes i
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615124978352000,1776615124972408000,6,Delete,i,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615125247011000,1776615125242950000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615125377306000,1776615125373329000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615125515231000,1776615125511176000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615125758517000,1776615125752335000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,1776615125873991000,1776615125870123000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615151502008000,1776615151494191000,0,Insert,d,1,d
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615151924899000,1776615151919643000,1,Delete,d,0,
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615152371400000,1776615152363028000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615152457792000,1776615152454054000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615152589051000,1776615152585018000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615152849665000,1776615152843764000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615152995219000,1776615152988581000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615153243196000,1776615153236356000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615153368191000,1776615153364406000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615153490622000,1776615153486122000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615154122848000,1776615154118981000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,1776615154217909000,1776615154214047000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615176947805000,1776615176938200000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615177053403000,1776615177048519000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615177185529000,1776615177177765000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615177423750000,1776615177417894000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615177555637000,1776615177551346000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615177809560000,1776615177803251000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615177895740000,1776615177891623000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615178088973000,1776615178079501000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615178490676000,1776615178486459000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,1776615178624961000,1776615178620756000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615202199506000,1776615202195447000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615202309995000,1776615202304273000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615202445241000,1776615202439121000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615202591161000,1776615202585517000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615202716970000,1776615202712436000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615202964357000,1776615202958162000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615203084203000,1776615203080180000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615203238209000,1776615203234303000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615203514339000,1776615203507953000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,1776615203630656000,1776615203626513000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615229739893000,1776615229734303000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615229897224000,1776615229893085000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615230021323000,1776615230017070000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615230155922000,1776615230151196000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615230265417000,1776615230260582000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615230602249000,1776615230594323000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615230762686000,1776615230756194000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615230888028000,1776615230883804000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615231203741000,1776615231195730000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,1776615231321032000,1776615231316794000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615255081599000,1776615255074899000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615255140403000,1776615255136326000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615255380650000,1776615255374670000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615255538619000,1776615255534392000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615255646172000,1776615255642052000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615255895066000,1776615255887890000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615256009988000,1776615256006326000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615256152803000,1776615256148780000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615256432184000,1776615256426607000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,1776615256577882000,1776615256573843000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615278733938000,1776615278728750000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615278876614000,1776615278871168000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615278979742000,1776615278973674000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615279195357000,1776615279188249000,3,Insert,s,4,Dnes
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615279290399000,1776615279286303000,4,Insert, ,5,Dnes 
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615279545764000,1776615279540191000,5,Insert,j,6,Dnes j
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615279658214000,1776615279653884000,6,Insert,e,7,Dnes je
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615279808854000,1776615279803704000,7,Insert, ,8,Dnes je 
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615280017693000,1776615280011884000,8,Insert,v,9,Dnes je v
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,1776615280178855000,1776615280172801000,9,Insert,o,10,Dnes je vo
30m2mK6UrdfP8ENgCSldqeHYwjq2,11,1776615304664083000,1776615304656941000,0,Insert,D,1,D
30m2mK6UrdfP8ENgCSldqeHYwjq2,11,1776615304770330000,1776615304766655000,1,Insert,n,2,Dn
30m2mK6UrdfP8ENgCSldqeHYwjq2,11,1776615304931906000,1776615304928193000,2,Insert,e,3,Dne
30m2mK6UrdfP8ENgCSldqeHYwjq2,11,1776615305065674000,1776615305061723000,3,Insert, ,4,Dne 
30m2mK6UrdfP8ENgCSldqeHYwjq2,11,1776615305163947000,1776615305160407000,4,Insert,s,5,Dne s
