input,session_id,timestamp,x,y,z
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154479513508,-0.25979117,-0.09960215,-0.0921453
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154499507623,-0.10745847,0.016511586,-0.018642114
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154519482623,0.07150582,-0.017576851,0.035686333
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154539523508,0.15672691,-0.047404233,0.047404233
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154559511321,0.05659213,-0.0047936863,0.034621067
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154579528716,-0.16924377,0.07190529,0.025033696
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154599552935,-0.33103067,0.11238532,0.013315796
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154619560904,-0.336357,0.06870951,0.0047936863
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154639555852,-0.206528,0.033555806,-0.035686333
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154659602727,-0.04354265,0.047404233,-0.09321057
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154679614550,0.06191845,0.062317923,-0.09108004
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154699626789,0.052331075,0.09108004,-0.046338968
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154719632519,0.020373167,0.11025479,-0.018642114
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154739620644,-0.109588996,0.056991603,0.06870951
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154759660331,-0.21398483,5.326318E-4,0.11984216
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154779626321,-0.19800588,-0.06125266,0.08149267
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154799686112,-0.13409007,-0.063383184,0.07084003
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154819683769,-0.050999496,-0.08149267,0.053795815
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154839692154,0.062983714,-0.12410321,0.015446323
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154859721998,0.1716406,-0.21678115,-0.012250531
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154879732362,0.21531641,-0.2508696,-0.023968432
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154899729133,0.21212062,-0.1976064,-0.022903169
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154919717414,0.18122798,-0.09108004,-0.03249054
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154939763821,0.17057534,-0.0921453,-0.015446323
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154959763508,0.17270587,-0.08362319,-0.00585895
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154979747258,0.17057534,-0.034621067,-0.025033696
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616154999803716,0.13861743,0.015446323,-0.030360013
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616155019790331,0.13329111,0.13901691,-0.03888212
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616155039799289,0.17696692,0.20919114,-0.023968432
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616155059809029,0.22916484,0.18695377,-0.0037284228
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616155079840383,0.25260064,0.12942953,5.326318E-4
sensor_gyroscope,b5f87d7b-44dc-48dd-ab9f-dc9180d8f991,1776616155099869758,0.22490379,0.10599373,0.002663159
