UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269990465316000,1771269990435765000,0,Insert,D,1,D
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269990539484000,1771269990534402000,1,Insert,n,2,Dn
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269990621229000,1771269990616483000,2,Insert,e,3,Dne
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269990764536000,1771269990758329000,3,Insert,s,4,Dnes
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269990861092000,1771269990856340000,4,Insert,j,5,Dnesj
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269991151472000,1771269991148660000,5,Delete,j,4,Dnes
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269991456256000,1771269991448218000,4,Insert, ,5,Dnes 
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269991729657000,1771269991725415000,5,Insert,h,6,Dnes h
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269991877066000,1771269991872540000,6,Insert,r,7,Dnes hr
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269991999006000,1771269991993165000,7,Insert, ,8,Dnes hr 
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269992087619000,1771269992083868000,8,Insert,v,9,Dnes hr v
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269992420482000,1771269992416504000,9,Delete,v,8,Dnes hr 
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269992590237000,1771269992587443000,8,Delete, ,7,Dnes hr
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269992730095000,1771269992726117000,7,Delete,r,6,Dnes h
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269992875435000,1771269992872270000,6,Delete,h,5,Dnes 
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269993360089000,1771269993355530000,5,Insert,j,6,Dnes j
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269993559544000,1771269993553931000,6,Insert,e,7,Dnes je
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269993641892000,1771269993637074000,7,Insert, ,8,Dnes je 
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269993895993000,1771269993891305000,8,Insert,v,9,Dnes je v
BqbYZxLSPiNGAJGElBH6dq0Gf422,1,1771269993974225000,1771269993969650000,9,Insert,o,10,Dnes je vo
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270022297364000,1771270022293380000,0,Insert,D,1,D
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270022421423000,1771270022417671000,1,Insert,n,2,Dn
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270022500872000,1771270022497793000,2,Insert,e,3,Dne
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270022666626000,1771270022660495000,3,Insert,s,4,Dnes
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270025211232000,1771270025205870000,4,Insert, ,5,Dnes 
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270025486574000,1771270025482418000,5,Insert,j,6,Dnes j
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270025573640000,1771270025569383000,6,Insert,e,7,Dnes je
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270025685749000,1771270025681571000,7,Insert, ,8,Dnes je 
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270025927559000,1771270025921302000,8,Insert,v,9,Dnes je v
BqbYZxLSPiNGAJGElBH6dq0Gf422,2,1771270026008788000,1771270026004354000,9,Insert,o,10,Dnes je vo
BqbYZxLSPiNGAJGElBH6dq0Gf422,3,1771270060993681000,1771270060989361000,0,Insert,D,1,D
BqbYZxLSPiNGAJGElBH6dq0Gf422,3,1771270061066728000,1771270061060742000,1,Insert,n,2,Dn
BqbYZxLSPiNGAJGElBH6dq0Gf422,3,1771270061169054000,1771270061163864000,2,Insert,e,3,Dne
BqbYZxLSPiNGAJGElBH6dq0Gf422,3,1771270061301019000,1771270061295503000,3,Insert,s,4,Dnes
BqbYZxLSPiNGAJGElBH6dq0Gf422,3,1771270062004550000,1771270061994291000,4,Insert, ,5,Dnes 
