UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223381412309000,1773223381398394000,0,Insert,d,1,d
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223381517797000,1773223381503006000,1,Insert,n,2,dn
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223381576624000,1773223381571789000,2,Insert,e,3,dne
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223381745438000,1773223381738719000,3,Insert,s,4,dnes
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223382118162000,1773223382115410000,4,Delete,s,3,dne
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223382254405000,1773223382251755000,3,Delete,e,2,dn
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223382385548000,1773223382382143000,2,Delete,n,1,d
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223382533837000,1773223382531746000,1,Delete,d,0,
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223383113853000,1773223383105329000,0,Insert,D,1,D
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223383369032000,1773223383362036000,1,Insert,n,2,Dn
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223383441111000,1773223383436856000,2,Insert,e,3,Dne
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223383595618000,1773223383591474000,3,Insert,s,4,Dnes
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223383717597000,1773223383712954000,4,Insert, ,5,Dnes 
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223383907918000,1773223383902990000,5,Insert,h,6,Dnes h
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223383996420000,1773223383992252000,6,Insert,e,7,Dnes he
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223384098762000,1773223384094067000,7,Insert, ,8,Dnes he 
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223384478635000,1773223384476047000,8,Delete, ,7,Dnes he
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223384718706000,1773223384714357000,7,Delete,e,6,Dnes h
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223384867642000,1773223384864638000,6,Delete,h,5,Dnes 
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223385261816000,1773223385255883000,5,Insert,j,6,Dnes j
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223385390865000,1773223385387135000,6,Insert,e,7,Dnes je
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223385478148000,1773223385473526000,7,Insert, ,8,Dnes je 
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223385647228000,1773223385642334000,8,Insert,v,9,Dnes je v
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223385709646000,1773223385706062000,9,Insert,o,10,Dnes je vo
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223385891260000,1773223385884327000,10,Insert,b,11,Dnes je vob
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223386057913000,1773223386052174000,11,Insert,k,12,Dnes je vobk
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223386201902000,1773223386197344000,12,Insert,u,13,Dnes je vobku
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223386484776000,1773223386482037000,13,Delete,u,12,Dnes je vobk
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223386610574000,1773223386607467000,12,Delete,k,11,Dnes je vob
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223386732865000,1773223386729327000,11,Delete,b,10,Dnes je vo
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223387039977000,1773223387033910000,10,Insert,n,11,Dnes je von
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223387226424000,1773223387220116000,11,Insert,k,12,Dnes je vonk
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223387361585000,1773223387356980000,12,Insert,u,13,Dnes je vonku
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223387475133000,1773223387470444000,13,Insert, ,14,Dnes je vonku 
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223388088164000,1773223388083554000,14,Insert,p,15,Dnes je vonku p
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223388233713000,1773223388225317000,15,Insert,e,16,Dnes je vonku pe
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223388330773000,1773223388326083000,16,Insert,k,17,Dnes je vonku pek
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223388485173000,1773223388480356000,17,Insert,n,18,Dnes je vonku pekn
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223388549471000,1773223388543401000,18,Insert,e,19,Dnes je vonku pekne
Omo5XrILUTX0J0Jih47KSik6Yi43,1,1773223389156577000,1773223389148572000,19,Insert,",",20,"Dnes je vonku pekne,"
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223416242646000,1773223416235735000,0,Insert,D,1,D
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223416384697000,1773223416373254000,1,Insert,n,2,Dn
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223416420780000,1773223416415988000,2,Insert,e,3,Dne
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223416581823000,1773223416574452000,3,Insert,s,4,Dnes
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223417192315000,1773223417182489000,4,Insert, ,5,Dnes 
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223417311902000,1773223417307319000,5,Insert,j,6,Dnes j
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223417417329000,1773223417412599000,6,Insert,e,7,Dnes je
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223417527906000,1773223417522971000,7,Insert, ,8,Dnes je 
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223417967949000,1773223417959121000,8,Insert,v,9,Dnes je v
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223418033534000,1773223418026999000,9,Insert,o,10,Dnes je vo
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223418200724000,1773223418195953000,10,Insert,b,11,Dnes je vob
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223418372649000,1773223418367176000,11,Insert,k,12,Dnes je vobk
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223418506521000,1773223418501505000,12,Insert,u,13,Dnes je vobku
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223418757070000,1773223418751319000,13,Delete,u,12,Dnes je vobk
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223418878219000,1773223418875187000,12,Delete,k,11,Dnes je vob
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223419024624000,1773223419021676000,11,Delete,b,10,Dnes je vo
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223419350607000,1773223419345691000,10,Insert,b,11,Dnes je vob
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223419743602000,1773223419737378000,11,Delete,b,10,Dnes je vo
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223419984030000,1773223419977033000,10,Insert,n,11,Dnes je von
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223420217863000,1773223420213047000,11,Insert,k,12,Dnes je vonk
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223420397033000,1773223420392505000,12,Insert,u,13,Dnes je vonku
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223420778084000,1773223420769384000,13,Insert, ,14,Dnes je vonku 
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223420960561000,1773223420955760000,14,Insert,p,15,Dnes je vonku p
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223421053129000,1773223421048481000,15,Insert,e,16,Dnes je vonku pe
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223421185275000,1773223421180741000,16,Insert,k,17,Dnes je vonku pek
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223421344428000,1773223421337429000,17,Insert,n,18,Dnes je vonku pekn
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223421420511000,1773223421416118000,18,Insert,e,19,Dnes je vonku pekne
Omo5XrILUTX0J0Jih47KSik6Yi43,2,1773223421530129000,1773223421524678000,19,Insert, ,20,Dnes je vonku pekne 
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223442072936000,1773223442065294000,0,Insert,D,1,D
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223442187269000,1773223442183119000,1,Insert,n,2,Dn
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223442269282000,1773223442264989000,2,Insert,e,3,Dne
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223442447365000,1773223442443019000,3,Insert,s,4,Dnes
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223442542125000,1773223442536450000,4,Insert, ,5,Dnes 
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223442731090000,1773223442726818000,5,Insert,j,6,Dnes j
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223442820897000,1773223442816360000,6,Insert,e,7,Dnes je
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223442903382000,1773223442898796000,7,Insert, ,8,Dnes je 
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223443093874000,1773223443089183000,8,Insert,v,9,Dnes je v
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223443153021000,1773223443148431000,9,Insert,o,10,Dnes je vo
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223443327795000,1773223443323399000,10,Insert,b,11,Dnes je vob
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223443483692000,1773223443478743000,11,Insert,k,12,Dnes je vobk
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223443633626000,1773223443629237000,12,Insert,u,13,Dnes je vobku
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223443919063000,1773223443914207000,13,Delete,u,12,Dnes je vobk
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223444050935000,1773223444047831000,12,Delete,k,11,Dnes je vob
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223444180309000,1773223444177447000,11,Delete,b,10,Dnes je vo
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223444444537000,1773223444435826000,10,Insert,n,11,Dnes je von
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223444655185000,1773223444650835000,11,Insert,k,12,Dnes je vonk
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223444799433000,1773223444794730000,12,Insert,u,13,Dnes je vonku
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223445382508000,1773223445373638000,13,Insert, ,14,Dnes je vonku 
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223445617772000,1773223445610764000,14,Insert,p,15,Dnes je vonku p
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223445733332000,1773223445729028000,15,Insert,e,16,Dnes je vonku pe
Omo5XrILUTX0J0Jih47KSik6Yi43,3,1773223445834341000,1773223445829854000,16,Insert,k,17,Dnes je vonku pek
