UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747985675213000,1773747985665845000,0,Insert,D,1,D
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747985854028000,1773747985849721000,1,Insert,n,2,Dn
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747985917766000,1773747985913803000,2,Insert,e,3,Dne
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747986124090000,1773747986113180000,3,Insert,s,4,Dnes
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747986180860000,1773747986177260000,4,Insert, ,5,Dnes 
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747986397614000,1773747986393539000,5,Insert,j,6,Dnes j
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747986501546000,1773747986496393000,6,Insert,e,7,Dnes je
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747986602763000,1773747986598662000,7,Insert, ,8,Dnes je 
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747986790853000,1773747986786915000,8,Insert,v,9,Dnes je v
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747987028636000,1773747987022984000,9,Insert,o,10,Dnes je vo
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747987201458000,1773747987197312000,10,Insert,n,11,Dnes je von
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747987379321000,1773747987375426000,11,Insert,k,12,Dnes je vonk
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747987546171000,1773747987542264000,12,Insert,u,13,Dnes je vonku
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747987716564000,1773747987712126000,13,Insert, ,14,Dnes je vonku 
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747987978602000,1773747987971472000,14,Insert,p,15,Dnes je vonku p
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747988120094000,1773747988112848000,15,Insert,e,16,Dnes je vonku pe
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747988176024000,1773747988172027000,16,Insert,k,17,Dnes je vonku pek
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747988368619000,1773747988362971000,17,Insert,n,18,Dnes je vonku pekn
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747988474980000,1773747988471135000,18,Insert,e,19,Dnes je vonku pekne
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747988978610000,1773747988967911000,19,Insert,",",20,"Dnes je vonku pekne,"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747989047573000,1773747989043671000,20,Insert, ,21,"Dnes je vonku pekne, "
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747989301698000,1773747989295329000,21,Insert,i,22,"Dnes je vonku pekne, i"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747989449933000,1773747989445740000,22,Insert,d,23,"Dnes je vonku pekne, id"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747989684177000,1773747989678367000,23,Insert,e,24,"Dnes je vonku pekne, ide"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747989767766000,1773747989763975000,24,Insert,m,25,"Dnes je vonku pekne, idem"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747989959137000,1773747989954544000,25,Insert, ,26,"Dnes je vonku pekne, idem "
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747990131750000,1773747990127740000,26,Insert,v,27,"Dnes je vonku pekne, idem v"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747990237942000,1773747990234366000,27,Insert,o,28,"Dnes je vonku pekne, idem vo"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747990445317000,1773747990441183000,28,Insert,n,29,"Dnes je vonku pekne, idem von"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747990660489000,1773747990652803000,29,Insert, ,30,"Dnes je vonku pekne, idem von "
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747990866576000,1773747990862943000,30,Insert,s,31,"Dnes je vonku pekne, idem von s"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747990963601000,1773747990959184000,31,Insert,o,32,"Dnes je vonku pekne, idem von so"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747991205569000,1773747991198646000,32,Insert, ,33,"Dnes je vonku pekne, idem von so "
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747991504790000,1773747991498733000,33,Insert,p,34,"Dnes je vonku pekne, idem von so p"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747991684370000,1773747991674620000,34,Insert,s,35,"Dnes je vonku pekne, idem von so ps"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747991738489000,1773747991734584000,35,Insert,o,36,"Dnes je vonku pekne, idem von so pso"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747991924338000,1773747991920454000,36,Insert,m,37,"Dnes je vonku pekne, idem von so psom"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747992137425000,1773747992133556000,37,Insert, ,38,"Dnes je vonku pekne, idem von so psom "
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747992343156000,1773747992338911000,38,Insert,n,39,"Dnes je vonku pekne, idem von so psom n"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747992514831000,1773747992507656000,39,Insert,a,40,"Dnes je vonku pekne, idem von so psom na"
PoPWokLWSNV1fAVoEx4sJEERdqL2,1,1773747992626726000,1773747992623885000,40,Insert, ,41,"Dnes je vonku pekne, idem von so psom na "
