UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013609068933000,1770013609051115000,0,Insert,d,1,d
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013610083708000,1770013610080016000,1,Delete,d,0,
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013611292057000,1770013611284867000,0,Insert,D,1,D
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013611829544000,1770013611824668000,1,Insert,n,2,Dn
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013612225809000,1770013612217988000,2,Insert,e,3,Dne
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013612445827000,1770013612438331000,3,Insert,s,4,Dnes
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013612729440000,1770013612719715000,4,Insert, ,5,Dnes 
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013613046905000,1770013613042427000,5,Insert,j,6,Dnes j
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013613366602000,1770013613356739000,6,Insert,e,7,Dnes je
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013613628213000,1770013613619153000,7,Insert, ,8,Dnes je 
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013614380227000,1770013614372322000,8,Insert,v,9,Dnes je v
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770013614786223000,1770013614781856000,9,Insert,o,10,Dnes je vo
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013652436449000,1770013652428394000,0,Insert,D,1,D
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013653164097000,1770013653159559000,1,Insert,n,2,Dn
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013653524834000,1770013653515978000,2,Insert,e,3,Dne
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013653733221000,1770013653726393000,3,Insert,s,4,Dnes
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013653971362000,1770013653964117000,4,Insert, ,5,Dnes 
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013654272238000,1770013654267768000,5,Insert,j,6,Dnes j
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013654596349000,1770013654589521000,6,Insert,e,7,Dnes je
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013654823584000,1770013654814141000,7,Insert, ,8,Dnes je 
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013655071877000,1770013655065216000,8,Insert,v,9,Dnes je v
PzRGdxGusYScYl0zOpFXECA49Tq1,2,1770013655446949000,1770013655442500000,9,Insert,o,10,Dnes je vo
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013686246601000,1770013686241522000,0,Insert,D,1,D
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013687021640000,1770013687015536000,1,Insert,n,2,Dn
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013687364235000,1770013687359909000,2,Insert,e,3,Dne
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013687568763000,1770013687564826000,3,Insert,s,4,Dnes
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013687795188000,1770013687790496000,4,Insert, ,5,Dnes 
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013688159788000,1770013688152371000,5,Insert,j,6,Dnes j
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013688470507000,1770013688466270000,6,Insert,e,7,Dnes je
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013688738335000,1770013688733615000,7,Insert, ,8,Dnes je 
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013689472383000,1770013689461885000,8,Insert,v,9,Dnes je v
PzRGdxGusYScYl0zOpFXECA49Tq1,3,1770013689817576000,1770013689807828000,9,Insert,o,10,Dnes je vo
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013718909335000,1770013718905238000,0,Insert,D,1,D
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013719315479000,1770013719309116000,1,Insert,n,2,Dn
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013719675321000,1770013719670878000,2,Insert,e,3,Dne
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013719859927000,1770013719855417000,3,Insert,s,4,Dnes
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013720126355000,1770013720118778000,4,Insert, ,5,Dnes 
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013720681791000,1770013720677408000,5,Insert,j,6,Dnes j
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013720970530000,1770013720965232000,6,Insert,e,7,Dnes je
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013721210357000,1770013721206190000,7,Insert, ,8,Dnes je 
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013721453556000,1770013721447900000,8,Insert,v,9,Dnes je v
PzRGdxGusYScYl0zOpFXECA49Tq1,4,1770013721784801000,1770013721777190000,9,Insert,o,10,Dnes je vo
PzRGdxGusYScYl0zOpFXECA49Tq1,5,1770013749932852000,1770013749924701000,0,Insert,D,1,D
PzRGdxGusYScYl0zOpFXECA49Tq1,5,1770013750337362000,1770013750332947000,1,Insert,n,2,Dn
PzRGdxGusYScYl0zOpFXECA49Tq1,5,1770013750714372000,1770013750707916000,2,Insert,e,3,Dne
PzRGdxGusYScYl0zOpFXECA49Tq1,5,1770013750901390000,1770013750897638000,3,Insert,s,4,Dnes
PzRGdxGusYScYl0zOpFXECA49Tq1,5,1770013751249391000,1770013751236709000,4,Insert, ,5,Dnes 
PzRGdxGusYScYl0zOpFXECA49Tq1,5,1770013751923620000,1770013751915964000,5,Insert,j,6,Dnes j
