UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161776763301000,1771161776721879000,0,Insert,D,1,D
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161776828274000,1771161776824661000,1,Insert,n,2,Dn
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161776945098000,1771161776935470000,2,Insert,e,3,Dne
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161777100630000,1771161777096331000,3,Insert,s,4,Dnes
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161777669013000,1771161777650626000,4,Insert, ,5,Dnes 
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161778175406000,1771161778170931000,5,Insert,j,6,Dnes j
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161778334601000,1771161778330284000,6,Insert,e,7,Dnes je
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161778467049000,1771161778461747000,7,Insert, ,8,Dnes je 
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161778954737000,1771161778949795000,8,Insert,v,9,Dnes je v
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161779228986000,1771161779224550000,9,Insert,o,10,Dnes je vo
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161779451154000,1771161779443287000,10,Insert,n,11,Dnes je von
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161779798920000,1771161779791768000,11,Insert,k,12,Dnes je vonk
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161779981033000,1771161779976893000,12,Insert,u,13,Dnes je vonku
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161780682578000,1771161780671694000,13,Insert, ,14,Dnes je vonku 
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161781026323000,1771161781019010000,14,Insert,p,15,Dnes je vonku p
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161781145182000,1771161781139690000,15,Insert,e,16,Dnes je vonku pe
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161781269756000,1771161781264948000,16,Insert,k,17,Dnes je vonku pek
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161781452840000,1771161781444623000,17,Insert,n,18,Dnes je vonku pekn
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161781571578000,1771161781566862000,18,Insert,e,19,Dnes je vonku pekne
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161781725298000,1771161781720802000,19,Insert, ,20,Dnes je vonku pekne 
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161783252316000,1771161783246270000,20,Insert,",",21,"Dnes je vonku pekne ,"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161783488501000,1771161783481409000,21,Insert,i,22,"Dnes je vonku pekne ,i"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161783650959000,1771161783645878000,22,Insert,d,23,"Dnes je vonku pekne ,id"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161783829607000,1771161783825266000,23,Insert,e,24,"Dnes je vonku pekne ,ide"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161783949384000,1771161783945076000,24,Insert,m,25,"Dnes je vonku pekne ,idem"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161784530796000,1771161784519902000,25,Insert, ,26,"Dnes je vonku pekne ,idem "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161784785709000,1771161784779023000,26,Insert,v,27,"Dnes je vonku pekne ,idem v"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161784868958000,1771161784864694000,27,Insert,o,28,"Dnes je vonku pekne ,idem vo"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161785071618000,1771161785067122000,28,Insert,n,29,"Dnes je vonku pekne ,idem von"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161785270380000,1771161785265944000,29,Insert, ,30,"Dnes je vonku pekne ,idem von "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161788156589000,1771161788149998000,30,Delete,",",29,Dnes je vonku pekne idem von 
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161788881539000,1771161788875227000,29,Delete, ,28,Dnes je vonku pekneidem von 
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161789676719000,1771161789670732000,28,Insert,",",29,"Dnes je vonku pekne,idem von "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161790010196000,1771161789999115000,29,Insert, ,30,"Dnes je vonku pekne, idem von "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161791979577000,1771161791970062000,30,Insert,s,31,"Dnes je vonku pekne, idem von s"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161792135935000,1771161792130703000,31,Insert,o,32,"Dnes je vonku pekne, idem von so"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161792361844000,1771161792354503000,32,Insert, ,33,"Dnes je vonku pekne, idem von so "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161792809255000,1771161792802102000,33,Insert,p,34,"Dnes je vonku pekne, idem von so p"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161793035467000,1771161793028914000,34,Insert,s,35,"Dnes je vonku pekne, idem von so ps"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161793155726000,1771161793151659000,35,Insert,o,36,"Dnes je vonku pekne, idem von so pso"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161793359784000,1771161793350710000,36,Insert,m,37,"Dnes je vonku pekne, idem von so psom"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161794309093000,1771161794299681000,37,Insert, ,38,"Dnes je vonku pekne, idem von so psom "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161794476191000,1771161794470014000,38,Insert,n,39,"Dnes je vonku pekne, idem von so psom n"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161794585300000,1771161794579943000,39,Insert,a,40,"Dnes je vonku pekne, idem von so psom na"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161794727375000,1771161794721674000,40,Insert, ,41,"Dnes je vonku pekne, idem von so psom na "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161794850838000,1771161794845941000,41,Insert,d,42,"Dnes je vonku pekne, idem von so psom na d"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161795006222000,1771161795001078000,42,Insert,v,43,"Dnes je vonku pekne, idem von so psom na dv"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161795245139000,1771161795241200000,43,Insert,o,44,"Dnes je vonku pekne, idem von so psom na dvo"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161795340689000,1771161795335601000,44,Insert,r,45,"Dnes je vonku pekne, idem von so psom na dvor"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161795659340000,1771161795653603000,45,Insert, ,46,"Dnes je vonku pekne, idem von so psom na dvor "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161796662740000,1771161796651636000,46,Insert,a,47,"Dnes je vonku pekne, idem von so psom na dvor a"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161796774522000,1771161796768979000,47,Insert, ,48,"Dnes je vonku pekne, idem von so psom na dvor a "
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161796961177000,1771161796954431000,48,Insert,b,49,"Dnes je vonku pekne, idem von so psom na dvor a b"
QcUKYLclszMKbeOKMPTEIZyiKKU2,1,1771161797110196000,1771161797104530000,49,Insert,u,50,"Dnes je vonku pekne, idem von so psom na dvor a bu"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161815813167000,1771161815807179000,0,Insert,D,1,D
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161815968626000,1771161815963797000,1,Insert,n,2,Dn
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161816054364000,1771161816049948000,2,Insert,e,3,Dne
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161816211313000,1771161816207237000,3,Insert,s,4,Dnes
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161816509559000,1771161816500402000,4,Insert, ,5,Dnes 
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161817010651000,1771161817003744000,5,Insert,j,6,Dnes j
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161817095612000,1771161817091787000,6,Insert,e,7,Dnes je
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161817239246000,1771161817235295000,7,Insert, ,8,Dnes je 
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161817572524000,1771161817564232000,8,Insert,v,9,Dnes je v
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161817812591000,1771161817808176000,9,Insert,o,10,Dnes je vo
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161818004803000,1771161818001065000,10,Insert,n,11,Dnes je von
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161818186563000,1771161818182056000,11,Insert,k,12,Dnes je vonk
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161818363606000,1771161818357727000,12,Insert,u,13,Dnes je vonku
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161819141830000,1771161819137263000,13,Insert, ,14,Dnes je vonku 
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161819463899000,1771161819458891000,14,Insert,p,15,Dnes je vonku p
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161819542034000,1771161819537471000,15,Insert,e,16,Dnes je vonku pe
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161819712553000,1771161819706596000,16,Insert,k,17,Dnes je vonku pek
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161819906702000,1771161819902305000,17,Insert,n,18,Dnes je vonku pekn
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161820015784000,1771161820012375000,18,Insert,e,19,Dnes je vonku pekne
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161820444801000,1771161820435005000,19,Insert,",",20,"Dnes je vonku pekne,"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161820757632000,1771161820752116000,20,Insert, ,21,"Dnes je vonku pekne, "
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161821439016000,1771161821431163000,21,Insert,i,22,"Dnes je vonku pekne, i"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161821558080000,1771161821552365000,22,Insert,d,23,"Dnes je vonku pekne, id"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161821755712000,1771161821751149000,23,Insert,e,24,"Dnes je vonku pekne, ide"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161821896921000,1771161821891495000,24,Insert,m,25,"Dnes je vonku pekne, idem"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161822197421000,1771161822191263000,25,Insert, ,26,"Dnes je vonku pekne, idem "
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161822624941000,1771161822618026000,26,Insert,v,27,"Dnes je vonku pekne, idem v"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161822867954000,1771161822859509000,27,Insert,o,28,"Dnes je vonku pekne, idem vo"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161823042509000,1771161823038308000,28,Insert,n,29,"Dnes je vonku pekne, idem von"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161823246005000,1771161823237145000,29,Insert, ,30,"Dnes je vonku pekne, idem von "
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161823950209000,1771161823944208000,30,Insert,s,31,"Dnes je vonku pekne, idem von s"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161824094407000,1771161824090228000,31,Insert,o,32,"Dnes je vonku pekne, idem von so"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161824348041000,1771161824340520000,32,Insert, ,33,"Dnes je vonku pekne, idem von so "
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161824651474000,1771161824644837000,33,Insert,l,34,"Dnes je vonku pekne, idem von so l"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161824840351000,1771161824835549000,34,Insert,s,35,"Dnes je vonku pekne, idem von so ls"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161824975642000,1771161824971008000,35,Insert,o,36,"Dnes je vonku pekne, idem von so lso"
QcUKYLclszMKbeOKMPTEIZyiKKU2,2,1771161825172128000,1771161825167587000,36,Insert,m,37,"Dnes je vonku pekne, idem von so lsom"
