UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016066247269000,1770016066225358000,0,Insert,D,1,D
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016066296717000,1770016066290481000,1,Insert,n,2,Dn
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016066374439000,1770016066370357000,2,Insert,e,3,Dne
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016066555483000,1770016066548954000,3,Insert,s,4,Dnes
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016066618676000,1770016066614451000,4,Insert, ,5,Dnes 
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016066740363000,1770016066734795000,5,Insert,j,6,Dnes j
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016066824242000,1770016066820105000,6,Insert,e,7,Dnes je
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016067515616000,1770016067508009000,7,Insert, ,8,Dnes je 
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016067770299000,1770016067763213000,8,Insert,v,9,Dnes je v
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016068734435000,1770016068725884000,9,Insert,i,10,Dnes je vi
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016069377534000,1770016069372509000,10,Delete,i,9,Dnes je v
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016069841558000,1770016069836343000,9,Insert,o,10,Dnes je vo
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016070111207000,1770016070106700000,10,Insert,n,11,Dnes je von
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016070349428000,1770016070342880000,11,Insert,k,12,Dnes je vonk
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016070526306000,1770016070522309000,12,Insert,u,13,Dnes je vonku
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016070747556000,1770016070739338000,13,Insert, ,14,Dnes je vonku 
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016070987585000,1770016070983315000,14,Insert,p,15,Dnes je vonku p
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016071073389000,1770016071068909000,15,Insert,e,16,Dnes je vonku pe
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016071171192000,1770016071166363000,16,Insert,k,17,Dnes je vonku pek
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016071362195000,1770016071355342000,17,Insert,n,18,Dnes je vonku pekn
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016071495018000,1770016071490702000,18,Insert,e,19,Dnes je vonku pekne
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016072800279000,1770016072788377000,19,Insert,",",20,"Dnes je vonku pekne,"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016072881049000,1770016072874215000,20,Insert, ,21,"Dnes je vonku pekne, "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016073077058000,1770016073072350000,21,Insert,i,22,"Dnes je vonku pekne, i"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016073142155000,1770016073138368000,22,Insert,d,23,"Dnes je vonku pekne, id"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016073325580000,1770016073321010000,23,Insert,e,24,"Dnes je vonku pekne, ide"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016073388196000,1770016073384026000,24,Insert,m,25,"Dnes je vonku pekne, idem"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016074469065000,1770016074459499000,25,Insert, ,26,"Dnes je vonku pekne, idem "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016074938600000,1770016074924494000,26,Insert,v,27,"Dnes je vonku pekne, idem v"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016075009291000,1770016075004438000,27,Insert,o,28,"Dnes je vonku pekne, idem vo"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016075660762000,1770016075656111000,28,Insert,n,29,"Dnes je vonku pekne, idem von"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016075853753000,1770016075848289000,29,Insert, ,30,"Dnes je vonku pekne, idem von "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016076009289000,1770016075995746000,30,Insert,s,31,"Dnes je vonku pekne, idem von s"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016076052239000,1770016076047708000,31,Insert,o,32,"Dnes je vonku pekne, idem von so"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016076907102000,1770016076897081000,32,Insert, ,33,"Dnes je vonku pekne, idem von so "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016077158972000,1770016077147962000,33,Insert,l,34,"Dnes je vonku pekne, idem von so l"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016077258333000,1770016077250281000,34,Insert,s,35,"Dnes je vonku pekne, idem von so ls"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016077346699000,1770016077340709000,35,Insert,o,36,"Dnes je vonku pekne, idem von so lso"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016077512466000,1770016077508027000,36,Insert,m,37,"Dnes je vonku pekne, idem von so lsom"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016077807001000,1770016077800973000,37,Delete,m,36,"Dnes je vonku pekne, idem von so lso"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016077967178000,1770016077964199000,36,Delete,o,35,"Dnes je vonku pekne, idem von so ls"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016078133148000,1770016078129634000,35,Delete,s,34,"Dnes je vonku pekne, idem von so l"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016078285982000,1770016078282908000,34,Delete,l,33,"Dnes je vonku pekne, idem von so "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016078964566000,1770016078954444000,33,Insert,p,34,"Dnes je vonku pekne, idem von so p"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016079069384000,1770016079064362000,34,Insert,s,35,"Dnes je vonku pekne, idem von so ps"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016079658439000,1770016079653931000,35,Insert,o,36,"Dnes je vonku pekne, idem von so pso"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016079883181000,1770016079876236000,36,Insert,m,37,"Dnes je vonku pekne, idem von so psom"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016080110017000,1770016080102957000,37,Insert, ,38,"Dnes je vonku pekne, idem von so psom "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016080679547000,1770016080666700000,38,Insert,n,39,"Dnes je vonku pekne, idem von so psom n"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016080765378000,1770016080760688000,39,Insert,a,40,"Dnes je vonku pekne, idem von so psom na"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016081225741000,1770016081212293000,40,Insert, ,41,"Dnes je vonku pekne, idem von so psom na "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016081463012000,1770016081455201000,41,Insert,d,42,"Dnes je vonku pekne, idem von so psom na d"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016081607979000,1770016081603302000,42,Insert,v,43,"Dnes je vonku pekne, idem von so psom na dv"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016081802892000,1770016081798106000,43,Insert,o,44,"Dnes je vonku pekne, idem von so psom na dvo"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016082103104000,1770016082095796000,44,Insert,r,45,"Dnes je vonku pekne, idem von so psom na dvor"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016082484442000,1770016082478845000,45,Insert, ,46,"Dnes je vonku pekne, idem von so psom na dvor "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016083175437000,1770016083171247000,46,Insert,a,47,"Dnes je vonku pekne, idem von so psom na dvor a"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016083344525000,1770016083338645000,47,Insert, ,48,"Dnes je vonku pekne, idem von so psom na dvor a "
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016083607886000,1770016083600188000,48,Insert,b,49,"Dnes je vonku pekne, idem von so psom na dvor a b"
WLA5tSeimOdSy4qCfthdd7C5WeB2,1,1770016083795801000,1770016083789906000,49,Insert,u,50,"Dnes je vonku pekne, idem von so psom na dvor a bu"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016101150981000,1770016101145225000,0,Insert,D,1,D
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016101249136000,1770016101243839000,1,Insert,n,2,Dn
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016101332488000,1770016101328185000,2,Insert,e,3,Dne
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016101512046000,1770016101507251000,3,Insert,s,4,Dnes
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016101582724000,1770016101576943000,4,Insert, ,5,Dnes 
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016101723639000,1770016101719527000,5,Insert,n,6,Dnes n
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016101895186000,1770016101890705000,6,Insert,e,7,Dnes ne
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016102427167000,1770016102423139000,7,Delete,e,6,Dnes n
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016102587993000,1770016102585177000,6,Delete,n,5,Dnes 
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016102814257000,1770016102807623000,5,Insert,j,6,Dnes j
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016102912146000,1770016102907681000,6,Insert,e,7,Dnes je
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016103153042000,1770016103144501000,7,Insert, ,8,Dnes je 
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016103457894000,1770016103449727000,8,Insert,v,9,Dnes je v
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016103531170000,1770016103526875000,9,Insert,o,10,Dnes je vo
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016104210432000,1770016104199347000,10,Insert,n,11,Dnes je von
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016104660731000,1770016104656238000,11,Insert,k,12,Dnes je vonk
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016104847855000,1770016104841234000,12,Insert,u,13,Dnes je vonku
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016105418448000,1770016105413462000,13,Insert, ,14,Dnes je vonku 
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016105913330000,1770016105904351000,14,Insert,p,15,Dnes je vonku p
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016106038297000,1770016106034069000,15,Insert,e,16,Dnes je vonku pe
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016106100511000,1770016106094932000,16,Insert,k,17,Dnes je vonku pek
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016106524246000,1770016106519830000,17,Insert,n,18,Dnes je vonku pekn
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016106629020000,1770016106623190000,18,Insert,e,19,Dnes je vonku pekne
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016109107542000,1770016109099048000,19,Insert,",",20,"Dnes je vonku pekne,"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016109837976000,1770016109828358000,20,Insert, ,21,"Dnes je vonku pekne, "
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016110847671000,1770016110843036000,21,Insert,i,22,"Dnes je vonku pekne, i"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016110925654000,1770016110921081000,22,Insert,d,23,"Dnes je vonku pekne, id"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016111242248000,1770016111235256000,23,Insert,e,24,"Dnes je vonku pekne, ide"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016111355790000,1770016111349436000,24,Insert,m,25,"Dnes je vonku pekne, idem"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016112213742000,1770016112202974000,25,Insert, ,26,"Dnes je vonku pekne, idem "
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016112708012000,1770016112702512000,26,Insert,c,27,"Dnes je vonku pekne, idem c"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016112805161000,1770016112800272000,27,Insert,o,28,"Dnes je vonku pekne, idem co"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016113369143000,1770016113363165000,28,Delete,o,27,"Dnes je vonku pekne, idem c"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016113523301000,1770016113520086000,27,Delete,c,26,"Dnes je vonku pekne, idem "
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016113904694000,1770016113898107000,26,Insert,v,27,"Dnes je vonku pekne, idem v"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016116770843000,1770016116759823000,27,Insert,o,28,"Dnes je vonku pekne, idem vo"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016117194878000,1770016117188942000,28,Insert,n,29,"Dnes je vonku pekne, idem von"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016117781452000,1770016117773052000,29,Insert, ,30,"Dnes je vonku pekne, idem von "
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016118027585000,1770016118014047000,30,Insert,s,31,"Dnes je vonku pekne, idem von s"
WLA5tSeimOdSy4qCfthdd7C5WeB2,2,1770016118133899000,1770016118127810000,31,Insert,o,32,"Dnes je vonku pekne, idem von so"
