UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224247294970000,1773224247283006000,0,Insert,D,1,D
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224249119040000,1773224249113499000,1,Insert,n,2,Dn
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224249360700000,1773224249354801000,2,Insert,e,3,Dne
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224249756623000,1773224249751525000,3,Insert,s,4,Dnes
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224250321024000,1773224250316138000,4,Insert, ,5,Dnes 
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224250846277000,1773224250836355000,5,Insert,j,6,Dnes j
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224251055560000,1773224251047993000,6,Insert,e,7,Dnes je
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224251972931000,1773224251965409000,7,Insert, ,8,Dnes je 
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224252658008000,1773224252653478000,8,Insert,b,9,Dnes je b
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,1,1773224253247969000,1773224253243602000,9,Insert,o,10,Dnes je bo
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,2,1773224315969409000,1773224315962239000,0,Insert,D,1,D
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,2,1773224316554637000,1773224316549934000,1,Insert,n,2,Dn
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,2,1773224316837604000,1773224316833037000,2,Insert,e,3,Dne
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,2,1773224317002124000,1773224316997517000,3,Insert,s,4,Dnes
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,2,1773224317547479000,1773224317537589000,4,Insert, ,5,Dnes 
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,2,1773224317910945000,1773224317903649000,5,Insert,j,6,Dnes j
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,2,1773224318208330000,1773224318203803000,6,Insert,e,7,Dnes je
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,2,1773224319252514000,1773224319241159000,7,Insert, ,8,Dnes je 
