UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073705901038000,1771073705868740000,0,Insert,D,1,D
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073706780055000,1771073706774308000,1,Insert,n,2,Dn
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073707201614000,1771073707196974000,2,Insert,e,3,Dne
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073707429488000,1771073707425162000,3,Insert,s,4,Dnes
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073710040762000,1771073710033534000,4,Insert, ,5,Dnes 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073711039015000,1771073711033150000,5,Insert,j,6,Dnes j
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073711442924000,1771073711438382000,6,Insert,e,7,Dnes je
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073711994284000,1771073711988897000,7,Insert, ,8,Dnes je 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073712278825000,1771073712274527000,8,Insert,v,9,Dnes je v
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073712597710000,1771073712594492000,9,Insert,o,10,Dnes je vo
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073712994613000,1771073712990431000,10,Insert,n,11,Dnes je von
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073713288432000,1771073713283806000,11,Insert,k,12,Dnes je vonk
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073713620491000,1771073713614793000,12,Insert,u,13,Dnes je vonku
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073715017138000,1771073715012682000,13,Insert, ,14,Dnes je vonku 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073715533924000,1771073715529476000,14,Insert,p,15,Dnes je vonku p
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073716059525000,1771073716053803000,15,Insert,e,16,Dnes je vonku pe
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073716652399000,1771073716647720000,16,Insert,k,17,Dnes je vonku pek
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073717172588000,1771073717168425000,17,Insert,n,18,Dnes je vonku pekn
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073717878633000,1771073717874016000,18,Insert,e,19,Dnes je vonku pekne
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073720089668000,1771073720084003000,19,Insert,",",20,"Dnes je vonku pekne,"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073723086276000,1771073723081844000,20,Insert,i,21,"Dnes je vonku pekne,i"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073723675805000,1771073723671323000,21,Insert,d,22,"Dnes je vonku pekne,id"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073723964272000,1771073723958814000,22,Insert,e,23,"Dnes je vonku pekne,ide"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073724615852000,1771073724611216000,23,Insert,m,24,"Dnes je vonku pekne,idem"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073725864586000,1771073725853979000,24,Insert, ,25,"Dnes je vonku pekne,idem "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073726175073000,1771073726168892000,25,Insert,v,26,"Dnes je vonku pekne,idem v"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073726544595000,1771073726540058000,26,Insert,o,27,"Dnes je vonku pekne,idem vo"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073727069640000,1771073727063789000,27,Insert,n,28,"Dnes je vonku pekne,idem von"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073728580489000,1771073728575633000,28,Insert, ,29,"Dnes je vonku pekne,idem von "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073729103394000,1771073729098009000,29,Insert,s,30,"Dnes je vonku pekne,idem von s"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073729519757000,1771073729515235000,30,Insert,o,31,"Dnes je vonku pekne,idem von so"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073733851438000,1771073733841273000,31,Insert, ,32,"Dnes je vonku pekne,idem von so "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073734357356000,1771073734350336000,32,Insert,p,33,"Dnes je vonku pekne,idem von so p"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073734905706000,1771073734898407000,33,Insert,s,34,"Dnes je vonku pekne,idem von so ps"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073735336633000,1771073735329183000,34,Insert,o,35,"Dnes je vonku pekne,idem von so pso"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073735695788000,1771073735688779000,35,Insert,m,36,"Dnes je vonku pekne,idem von so psom"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073739797053000,1771073739788639000,36,Insert, ,37,"Dnes je vonku pekne,idem von so psom "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073740079508000,1771073740072417000,37,Insert,n,38,"Dnes je vonku pekne,idem von so psom n"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073740477774000,1771073740473404000,38,Insert,a,39,"Dnes je vonku pekne,idem von so psom na"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073740851481000,1771073740848012000,39,Insert, ,40,"Dnes je vonku pekne,idem von so psom na "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073741229203000,1771073741221883000,40,Insert,d,41,"Dnes je vonku pekne,idem von so psom na d"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073741747621000,1771073741741052000,41,Insert,v,42,"Dnes je vonku pekne,idem von so psom na dv"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073742065789000,1771073742061921000,42,Insert,i,43,"Dnes je vonku pekne,idem von so psom na dvi"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073742528960000,1771073742520943000,43,Insert,r,44,"Dnes je vonku pekne,idem von so psom na dvir"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073744119032000,1771073744116041000,44,Delete,r,43,"Dnes je vonku pekne,idem von so psom na dvi"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073744389790000,1771073744385854000,43,Delete,i,42,"Dnes je vonku pekne,idem von so psom na dv"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073745295731000,1771073745286629000,42,Insert,o,43,"Dnes je vonku pekne,idem von so psom na dvo"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073745887174000,1771073745882680000,43,Insert,r,44,"Dnes je vonku pekne,idem von so psom na dvor"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073747384650000,1771073747375033000,44,Insert, ,45,"Dnes je vonku pekne,idem von so psom na dvor "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073747913093000,1771073747908313000,45,Insert,a,46,"Dnes je vonku pekne,idem von so psom na dvor a"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073750417903000,1771073750408224000,46,Insert, ,47,"Dnes je vonku pekne,idem von so psom na dvor a "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073750781033000,1771073750773135000,47,Insert,b,48,"Dnes je vonku pekne,idem von so psom na dvor a b"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073751067350000,1771073751059114000,48,Insert,u,49,"Dnes je vonku pekne,idem von so psom na dvor a bu"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,1,1771073751508051000,1771073751500163000,49,Insert,d,50,"Dnes je vonku pekne,idem von so psom na dvor a bud"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073801854321000,1771073801848932000,0,Insert,D,1,D
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073802505629000,1771073802501169000,1,Insert,n,2,Dn
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073802874370000,1771073802869616000,2,Insert,e,3,Dne
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073803176651000,1771073803168751000,3,Insert,s,4,Dnes
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073804246958000,1771073804234792000,4,Insert, ,5,Dnes 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073804669003000,1771073804661956000,5,Insert,j,6,Dnes j
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073805074546000,1771073805067267000,6,Insert,e,7,Dnes je
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073805401415000,1771073805393861000,7,Insert, ,8,Dnes je 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073805910447000,1771073805902238000,8,Insert,v,9,Dnes je v
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073806208652000,1771073806199841000,9,Insert,i,10,Dnes je vi
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073806597207000,1771073806589468000,10,Insert,n,11,Dnes je vin
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073806835715000,1771073806827808000,11,Insert,k,12,Dnes je vink
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073807084990000,1771073807076811000,12,Insert,u,13,Dnes je vinku
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073808350472000,1771073808345651000,13,Insert, ,14,Dnes je vinku 
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073808749086000,1771073808743899000,14,Insert,p,15,Dnes je vinku p
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073809162390000,1771073809154794000,15,Insert,e,16,Dnes je vinku pe
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073809862576000,1771073809857519000,16,Insert,k,17,Dnes je vinku pek
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073810391624000,1771073810386708000,17,Insert,n,18,Dnes je vinku pekn
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073810970751000,1771073810964280000,18,Insert,e,19,Dnes je vinku pekne
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073813223223000,1771073813215661000,19,Insert,",",20,"Dnes je vinku pekne,"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073813660932000,1771073813652893000,20,Insert, ,21,"Dnes je vinku pekne, "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073815975411000,1771073815966206000,21,Insert,i,22,"Dnes je vinku pekne, i"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073816623631000,1771073816616325000,22,Insert,d,23,"Dnes je vinku pekne, id"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073816821627000,1771073816812811000,23,Insert,e,24,"Dnes je vinku pekne, ide"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073817439143000,1771073817434769000,24,Insert,m,25,"Dnes je vinku pekne, idem"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073821497586000,1771073821487223000,25,Insert, ,26,"Dnes je vinku pekne, idem "
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073821782270000,1771073821775013000,26,Insert,v,27,"Dnes je vinku pekne, idem v"
pBcgsSbey6YdBbQGH0nEAMUjA9H2,2,1771073822108738000,1771073822103933000,27,Insert,o,28,"Dnes je vinku pekne, idem vo"
