UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267911948177000,1771267911924627000,0,Insert,D,1,D
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267912027084000,1771267912022166000,1,Insert,n,2,Dn
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267912134914000,1771267912130131000,2,Insert,e,3,Dne
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267912322301000,1771267912317827000,3,Insert,s,4,Dnes
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267912416155000,1771267912411164000,4,Insert, ,5,Dnes 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267912636907000,1771267912633124000,5,Insert,j,6,Dnes j
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267912767590000,1771267912764527000,6,Insert,e,7,Dnes je
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267912883770000,1771267912880623000,7,Insert, ,8,Dnes je 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267913609116000,1771267913601082000,8,Insert,v,9,Dnes je v
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267913827398000,1771267913821616000,9,Insert,o,10,Dnes je vo
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267914001232000,1771267913996755000,10,Insert,n,11,Dnes je von
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267914171600000,1771267914167051000,11,Insert,k,12,Dnes je vonk
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267914382328000,1771267914377886000,12,Insert,u,13,Dnes je vonku
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267914727388000,1771267914718981000,13,Insert, ,14,Dnes je vonku 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267915173899000,1771267915166346000,14,Insert,p,15,Dnes je vonku p
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267915344363000,1771267915336424000,15,Insert,e,16,Dnes je vonku pe
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267915420019000,1771267915414249000,16,Insert,k,17,Dnes je vonku pek
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267915608404000,1771267915603020000,17,Insert,n,18,Dnes je vonku pekn
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267915752515000,1771267915748582000,18,Insert,e,19,Dnes je vonku pekne
qHMPVSZeEOVJeANy4PmaCi0s1LX2,1,1771267917367587000,1771267917356939000,19,Insert,",",20,"Dnes je vonku pekne,"
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267941145637000,1771267941135546000,0,Insert,D,1,D
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267942076669000,1771267942065398000,1,Insert,n,2,Dn
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267942234404000,1771267942229595000,2,Insert,e,3,Dne
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267942475260000,1771267942468002000,3,Insert,s,4,Dnes
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267942602433000,1771267942589080000,4,Insert, ,5,Dnes 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267943160802000,1771267943156466000,5,Insert,j,6,Dnes j
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267943304271000,1771267943297869000,6,Insert,e,7,Dnes je
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267943410238000,1771267943406167000,7,Insert, ,8,Dnes je 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267943679875000,1771267943677152000,8,Insert,v,9,Dnes je v
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267943920883000,1771267943913841000,9,Insert,o,10,Dnes je vo
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267944119454000,1771267944115000000,10,Insert,n,11,Dnes je von
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267944301522000,1771267944297127000,11,Insert,k,12,Dnes je vonk
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267944521322000,1771267944513769000,12,Insert,u,13,Dnes je vonku
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267956781479000,1771267956773140000,13,Insert, ,14,Dnes je vonku 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267957137653000,1771267957130021000,14,Insert,p,15,Dnes je vonku p
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267957262731000,1771267957256993000,15,Insert,e,16,Dnes je vonku pe
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267957402994000,1771267957398519000,16,Insert,k,17,Dnes je vonku pek
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267957607704000,1771267957602617000,17,Insert,n,18,Dnes je vonku pekn
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267957775982000,1771267957771874000,18,Insert,e,19,Dnes je vonku pekne
qHMPVSZeEOVJeANy4PmaCi0s1LX2,2,1771267958470405000,1771267958458551000,19,Insert,",",20,"Dnes je vonku pekne,"
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267980889810000,1771267980875818000,0,Insert,D,1,D
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267980981566000,1771267980977236000,1,Insert,n,2,Dn
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267981084349000,1771267981080193000,2,Insert,e,3,Dne
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267981275572000,1771267981271802000,3,Insert,s,4,Dnes
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267981333107000,1771267981328359000,4,Insert, ,5,Dnes 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267981520775000,1771267981516684000,5,Insert,j,6,Dnes j
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267981736950000,1771267981730668000,6,Insert,e,7,Dnes je
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267981910157000,1771267981905698000,7,Insert, ,8,Dnes je 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267982408259000,1771267982403814000,8,Insert,v,9,Dnes je v
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267982638866000,1771267982632390000,9,Insert,o,10,Dnes je vo
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267982815822000,1771267982811515000,10,Insert,n,11,Dnes je von
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267982991369000,1771267982987227000,11,Insert,k,12,Dnes je vonk
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267983202500000,1771267983198493000,12,Insert,u,13,Dnes je vonku
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267983410834000,1771267983406309000,13,Insert, ,14,Dnes je vonku 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267983735810000,1771267983731586000,14,Insert,p,15,Dnes je vonku p
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267983882723000,1771267983877622000,15,Insert,e,16,Dnes je vonku pe
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267983949041000,1771267983945029000,16,Insert,k,17,Dnes je vonku pek
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267984156220000,1771267984152138000,17,Insert,n,18,Dnes je vonku pekn
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267984294149000,1771267984289853000,18,Insert,e,19,Dnes je vonku pekne
qHMPVSZeEOVJeANy4PmaCi0s1LX2,3,1771267985324288000,1771267985314612000,19,Insert,",",20,"Dnes je vonku pekne,"
qHMPVSZeEOVJeANy4PmaCi0s1LX2,4,1771268007293207000,1771268007289324000,0,Insert,D,1,D
qHMPVSZeEOVJeANy4PmaCi0s1LX2,4,1771268007382009000,1771268007376970000,1,Insert,n,2,Dn
qHMPVSZeEOVJeANy4PmaCi0s1LX2,4,1771268007502867000,1771268007498458000,2,Insert,e,3,Dne
qHMPVSZeEOVJeANy4PmaCi0s1LX2,4,1771268007724508000,1771268007716754000,3,Insert,s,4,Dnes
qHMPVSZeEOVJeANy4PmaCi0s1LX2,4,1771268007831459000,1771268007826862000,4,Insert, ,5,Dnes 
qHMPVSZeEOVJeANy4PmaCi0s1LX2,4,1771268008270892000,1771268008264256000,5,Insert,j,6,Dnes j
