UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464273411256000,1771464273390794000,0,Insert,D,1,D
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464273818164000,1771464273813045000,1,Insert,n,2,Dn
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464274166769000,1771464274161563000,2,Insert,e,3,Dne
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464274406422000,1771464274398219000,3,Insert,s,4,Dnes
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464274662913000,1771464274657874000,4,Insert, ,5,Dnes 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464274945836000,1771464274938726000,5,Insert,h,6,Dnes h
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464275218940000,1771464275211917000,6,Insert,e,7,Dnes he
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464276000371000,1771464275995547000,7,Delete,e,6,Dnes h
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464276146728000,1771464276143555000,6,Delete,h,5,Dnes 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464276447108000,1771464276442946000,5,Insert,j,6,Dnes j
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464276741829000,1771464276737365000,6,Insert,e,7,Dnes je
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464277218913000,1771464277214414000,7,Insert, ,8,Dnes je 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464277459214000,1771464277454994000,8,Insert,v,9,Dnes je v
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464277788071000,1771464277783117000,9,Insert,o,10,Dnes je vo
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464278395188000,1771464278390963000,10,Insert,n,11,Dnes je von
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464278641132000,1771464278633347000,11,Insert,k,12,Dnes je vonk
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464278821202000,1771464278817117000,12,Insert,u,13,Dnes je vonku
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464279190536000,1771464279185852000,13,Insert, ,14,Dnes je vonku 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464279628263000,1771464279622044000,14,Insert,p,15,Dnes je vonku p
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464280064598000,1771464280057904000,15,Insert,e,16,Dnes je vonku pe
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464280696171000,1771464280691272000,16,Insert,k,17,Dnes je vonku pek
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464281125435000,1771464281121140000,17,Insert,n,18,Dnes je vonku pekn
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464281424028000,1771464281416545000,18,Insert,e,19,Dnes je vonku pekne
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464282651821000,1771464282641537000,19,Insert,",",20,"Dnes je vonku pekne,"
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464283307509000,1771464283299117000,20,Insert, ,21,"Dnes je vonku pekne, "
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464283713097000,1771464283702744000,21,Insert,i,22,"Dnes je vonku pekne, i"
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464284202952000,1771464284198302000,22,Insert,d,23,"Dnes je vonku pekne, id"
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464284374574000,1771464284369510000,23,Insert,e,24,"Dnes je vonku pekne, ide"
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771464285379499000,1771464285371412000,24,Insert,m,25,"Dnes je vonku pekne, idem"
wL7w4dmBmxSYXUEO9tYBUp6XaA22,2,1771464319767347000,1771464319757969000,0,Insert,D,1,D
wL7w4dmBmxSYXUEO9tYBUp6XaA22,2,1771464320166396000,1771464320159518000,1,Insert,n,2,Dn
wL7w4dmBmxSYXUEO9tYBUp6XaA22,2,1771464320508163000,1771464320503983000,2,Insert,e,3,Dne
wL7w4dmBmxSYXUEO9tYBUp6XaA22,2,1771464320728172000,1771464320724000000,3,Insert,s,4,Dnes
wL7w4dmBmxSYXUEO9tYBUp6XaA22,2,1771464321091911000,1771464321084175000,4,Insert, ,5,Dnes 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,2,1771464321471891000,1771464321468009000,5,Insert,j,6,Dnes j
wL7w4dmBmxSYXUEO9tYBUp6XaA22,2,1771464321819123000,1771464321812084000,6,Insert,e,7,Dnes je
wL7w4dmBmxSYXUEO9tYBUp6XaA22,2,1771464322961404000,1771464322952255000,7,Insert, ,8,Dnes je 
