UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527799902363000,1772527799892055000,0,Insert,S,1,S
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527800000226000,1772527799995589000,1,Insert,o,2,So
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527800181872000,1772527800177713000,2,Insert,m,3,Som
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527800405889000,1772527800393418000,3,Insert, ,4,Som 
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527800574534000,1772527800571711000,4,Insert,v,5,Som v
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527801183557000,1772527801175042000,5,Insert, ,6,Som v 
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527801399239000,1772527801394932000,6,Insert,b,7,Som v b
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527801650019000,1772527801646448000,7,Insert,r,8,Som v br
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527801811034000,1772527801807495000,8,Insert,a,9,Som v bra
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527801939910000,1772527801934864000,9,Insert,t,10,Som v brat
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527802233174000,1772527802230149000,10,Insert,i,11,Som v brati
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527802410412000,1772527802401094000,11,Insert,s,12,Som v bratis
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527802507621000,1772527802496978000,12,Insert,l,13,Som v bratisl
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527802690675000,1772527802681429000,13,Insert,a,14,Som v bratisla
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527802850573000,1772527802844708000,14,Insert,v,15,Som v bratislav
05TW8Ljp5AOArnLclD8e8LIHgwg2,1,1772527803060544000,1772527803013031000,15,Insert,e,16,Som v bratislave
