UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222925273975000,1773222925265322000,0,Insert,T,1,T
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222925403895000,1773222925400164000,1,Insert,o,2,To
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222925558763000,1773222925555096000,2,Insert,t,3,Tot
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222925630885000,1773222925627048000,3,Insert,o,4,Toto
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222925978422000,1773222925974713000,4,Insert, ,5,Toto 
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222926345399000,1773222926338145000,5,Insert,j,6,Toto j
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222926485813000,1773222926480448000,6,Insert,e,7,Toto je
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222926621456000,1773222926617637000,7,Insert, ,8,Toto je 
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222927524406000,1773222927517579000,8,Insert,m,9,Toto je m
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222927743376000,1773222927735087000,9,Insert,o,10,Toto je mo
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222927959522000,1773222927953643000,10,Insert,j,11,Toto je moj
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222928096940000,1773222928093375000,11,Insert,a,12,Toto je moja
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222928217871000,1773222928214143000,12,Insert, ,13,Toto je moja 
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222928897974000,1773222928889925000,13,Insert,t,14,Toto je moja t
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222929061879000,1773222929058322000,14,Insert,e,15,Toto je moja te
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222929237016000,1773222929232544000,15,Insert,s,16,Toto je moja tes
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222929459686000,1773222929452174000,16,Insert,t,17,Toto je moja test
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222929581524000,1773222929577912000,17,Insert,o,18,Toto je moja testo
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222929919393000,1773222929915720000,18,Insert,v,19,Toto je moja testov
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,1,1773222930038362000,1773222930034571000,19,Insert,a,20,Toto je moja testova
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,2,1773222949905238000,1773222949897964000,0,Insert,T,1,T
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,2,1773222950010873000,1773222950005277000,1,Insert,o,2,To
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,2,1773222950131858000,1773222950127889000,2,Insert,t,3,Tot
