input,session_id,timestamp,x,y,z
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683313381697,0.34594437,-0.30839384,-0.3189133
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683333394457,0.31398645,-0.4680502,-0.31465223
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683353427895,0.09134636,-0.48402917,-0.24221432
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683373428572,-0.2952112,-0.5767071,-0.16764587
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683393454978,-0.4944155,-0.63955766,-0.12290479
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683413451957,-0.3474091,-0.52131337,-0.11225215
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683433462582,-0.060853187,-0.34780857,-0.10266478
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683453469301,0.16591482,-0.15925692,-0.082424775
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683473483988,0.20319904,-0.020772642,-0.071772136
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683493503832,0.1691106,0.013315796,-0.032357384
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683513503207,0.103064254,0.016511586,-0.016378429
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683533515082,0.04234423,0.013315796,-0.002530001
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683553528780,-0.021438431,-0.023968432,0.016644744
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683573529561,-0.060853187,-0.030360013,0.020905798
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683593555238,-0.05978792,0.019707378,0.0326237
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683613556749,-0.039547913,-0.013315796,0.026232118
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683633568884,-0.024634222,-0.060187396,0.026232118
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683653580863,0.011584742,-0.05805687,0.020905798
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683673572061,0.07430214,-0.02609896,0.010253162
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683693612895,0.08815057,-0.017576851,-0.021704746
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683713591645,0.0519316,-0.03888212,-0.03981423
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683733607061,0.043409493,-0.03888212,-0.044075284
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683753621176,0.06578003,-0.07084003,-0.05792371
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683773625343,0.06578003,-0.09321057,-0.055793185
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683793645291,0.016777903,-0.08788425,-0.033422645
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683813664509,-0.04167844,-0.08894952,-0.016378429
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683833662843,-0.055526868,-0.09640636,-0.015313165
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683853672166,-0.05978792,-0.118776895,-0.029161593
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683873681905,-0.06937529,-0.15393059,-0.03448791
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683893712530,-0.08855004,-0.16564849,-0.052597392
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683913701384,-0.11411637,-0.15712638,-0.06325003
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683933708468,-0.1279648,-0.14860427,-0.08988162
sensor_gyroscope,7fddc7e2-c628-448c-852e-478324c270b1,1772556683953753051,-0.07896267,-0.118776895,-0.09946899
