UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014312565879000,1770014312551625000,0,Insert,S,1,S
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014312826651000,1770014312818989000,1,Insert,o,2,So
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014313112148000,1770014313108630000,2,Insert,m,3,Som
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014313338023000,1770014313331459000,3,Insert, ,4,Som 
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014313513929000,1770014313509812000,4,Insert,s,5,Som s
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014313760920000,1770014313753570000,5,Insert,p,6,Som sp
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014313939196000,1770014313935345000,6,Insert,o,7,Som spo
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014314170894000,1770014314164303000,7,Insert,l,8,Som spol
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014314380920000,1770014314377520000,8,Insert,o,9,Som spolo
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014314830454000,1770014314824558000,9,Insert,c,10,Som spoloc
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014315060135000,1770014315054424000,10,Insert,e,11,Som spoloce
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014315254611000,1770014315246951000,11,Insert,n,12,Som spolocen
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014315684582000,1770014315678066000,12,Insert,s,13,Som spolocens
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014315909813000,1770014315906186000,13,Insert,k,14,Som spolocensk
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014316410980000,1770014316404898000,14,Insert,y,15,Som spolocensky
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014316672872000,1770014316664215000,15,Insert, ,16,Som spolocensky 
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014317807694000,1770014317800651000,16,Insert,t,17,Som spolocensky t
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014318829503000,1770014318825655000,17,Insert,y,18,Som spolocensky ty
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014319200618000,1770014319195035000,18,Insert,m,19,Som spolocensky tym
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014320215053000,1770014320202468000,19,Insert,",",20,"Som spolocensky tym,"
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014320585574000,1770014320579124000,20,Insert, ,21,"Som spolocensky tym, "
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014320954494000,1770014320948449000,21,Insert,k,22,"Som spolocensky tym, k"
PzRGdxGusYScYl0zOpFXECA49Tq1,1,1770014321532873000,1770014321522062000,22,Insert,t,23,"Som spolocensky tym, kt"
