UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189670432155000,1776189670422379000,0,Insert,D,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189670779895000,1776189670773438000,1,Insert,n,2,Dn
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189671071822000,1776189671064769000,2,Insert,e,3,Dne
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189671654318000,1776189671645046000,3,Insert,s,4,Dnes
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189671907148000,1776189671900918000,4,Insert, ,5,Dnes 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189672351287000,1776189672345653000,5,Insert,s,6,Dnes s
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189672739757000,1776189672731851000,6,Insert,i,7,Dnes si
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189672956452000,1776189672950956000,7,Insert, ,8,Dnes si 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189673208876000,1776189673203039000,8,Insert,d,9,Dnes si d
RKcUBPWd7Lgr4wrIof2rJxDyitr1,1,1776189673406714000,1776189673403025000,9,Insert,a,10,Dnes si da
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189698822305000,1776189698814782000,0,Insert,D,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189699177654000,1776189699172470000,1,Insert,n,2,Dn
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189699522280000,1776189699516683000,2,Insert,e,3,Dne
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189699743461000,1776189699736036000,3,Insert,s,4,Dnes
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189700010645000,1776189700004928000,4,Insert, ,5,Dnes 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189700263526000,1776189700256001000,5,Insert,s,6,Dnes s
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189700645272000,1776189700639281000,6,Insert,i,7,Dnes si
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189700924170000,1776189700918073000,7,Insert, ,8,Dnes si 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189701368636000,1776189701362114000,8,Insert,d,9,Dnes si d
RKcUBPWd7Lgr4wrIof2rJxDyitr1,2,1776189701564909000,1776189701560535000,9,Insert,a,10,Dnes si da
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189732923810000,1776189732916323000,0,Insert,D,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189733363364000,1776189733357596000,1,Insert,n,2,Dn
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189733740088000,1776189733731639000,2,Insert,e,3,Dne
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189733929964000,1776189733926217000,3,Insert,s,4,Dnes
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189734473131000,1776189734464093000,4,Insert, ,5,Dnes 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189734866720000,1776189734860130000,5,Insert,s,6,Dnes s
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189735221497000,1776189735217817000,6,Insert,i,7,Dnes si
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189735447999000,1776189735441122000,7,Insert, ,8,Dnes si 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189735988173000,1776189735984589000,8,Insert,d,9,Dnes si d
RKcUBPWd7Lgr4wrIof2rJxDyitr1,3,1776189736186432000,1776189736182813000,9,Insert,a,10,Dnes si da
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189772147196000,1776189772141273000,0,Insert,D,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189772684120000,1776189772678155000,1,Insert,n,2,Dn
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189773065353000,1776189773059207000,2,Insert,e,3,Dne
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189773238363000,1776189773234259000,3,Insert,s,4,Dnes
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189773484336000,1776189773475949000,4,Insert, ,5,Dnes 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189773724657000,1776189773716159000,5,Insert,s,6,Dnes s
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189774092602000,1776189774086852000,6,Insert,i,7,Dnes si
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189774347815000,1776189774341723000,7,Insert, ,8,Dnes si 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189774664936000,1776189774658341000,8,Insert,d,9,Dnes si d
RKcUBPWd7Lgr4wrIof2rJxDyitr1,4,1776189774860117000,1776189774855338000,9,Insert,a,10,Dnes si da
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189800616644000,1776189800612543000,0,Insert,D,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189801104342000,1776189801095003000,1,Insert,n,2,Dn
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189805509150000,1776189805502348000,2,Insert,e,3,Dne
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189805648048000,1776189805644574000,3,Insert,s,4,Dnes
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189806639318000,1776189806628940000,4,Insert, ,5,Dnes 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189807395662000,1776189807389567000,5,Insert,s,6,Dnes s
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189807883689000,1776189807875762000,6,Insert,i,7,Dnes si
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189808994784000,1776189808984232000,7,Insert, ,8,Dnes si 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189809547888000,1776189809542130000,8,Insert,d,9,Dnes si d
RKcUBPWd7Lgr4wrIof2rJxDyitr1,5,1776189809757069000,1776189809749195000,9,Insert,a,10,Dnes si da
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189840818605000,1776189840813943000,0,Insert,D,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189841216330000,1776189841210991000,1,Insert,n,2,Dn
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189841559743000,1776189841554021000,2,Insert,e,3,Dne
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189841735027000,1776189841730913000,3,Insert,s,4,Dnes
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189841979374000,1776189841972995000,4,Insert, ,5,Dnes 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189842467201000,1776189842461217000,5,Insert,s,6,Dnes s
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189842795580000,1776189842789105000,6,Insert,i,7,Dnes si
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189842986076000,1776189842978555000,7,Insert, ,8,Dnes si 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189843207850000,1776189843200904000,8,Insert,d,9,Dnes si d
RKcUBPWd7Lgr4wrIof2rJxDyitr1,6,1776189843385690000,1776189843379525000,9,Insert,a,10,Dnes si da
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189865880970000,1776189865877175000,0,Insert,D,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189866190679000,1776189866183215000,1,Insert,n,2,Dn
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189866479679000,1776189866473808000,2,Insert,e,3,Dne
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189866651941000,1776189866648538000,3,Insert,s,4,Dnes
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189866886668000,1776189866883249000,4,Insert, ,5,Dnes 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189867063146000,1776189867057167000,5,Insert,s,6,Dnes s
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189867360365000,1776189867353203000,6,Insert,i,7,Dnes si
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189867564842000,1776189867559160000,7,Insert, ,8,Dnes si 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189867791781000,1776189867788022000,8,Insert,d,9,Dnes si d
RKcUBPWd7Lgr4wrIof2rJxDyitr1,7,1776189867966656000,1776189867961906000,9,Insert,a,10,Dnes si da
RKcUBPWd7Lgr4wrIof2rJxDyitr1,8,1776189891936457000,1776189891928880000,0,Insert,D,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,8,1776189892462443000,1776189892456515000,1,Insert,b,2,Db
RKcUBPWd7Lgr4wrIof2rJxDyitr1,8,1776189892901411000,1776189892897425000,2,Delete,b,1,D
RKcUBPWd7Lgr4wrIof2rJxDyitr1,8,1776189893153603000,1776189893148107000,1,Insert,n,2,Dn
RKcUBPWd7Lgr4wrIof2rJxDyitr1,8,1776189893431019000,1776189893425172000,2,Insert,r,3,Dnr
RKcUBPWd7Lgr4wrIof2rJxDyitr1,8,1776189893611798000,1776189893608082000,3,Insert,s,4,Dnrs
RKcUBPWd7Lgr4wrIof2rJxDyitr1,8,1776189893818826000,1776189893810925000,4,Insert, ,5,Dnrs 
RKcUBPWd7Lgr4wrIof2rJxDyitr1,8,1776189894314660000,1776189894310294000,5,Delete, ,4,Dnrs
