input,session_id,timestamp,x,y,z
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669123746807,0.74895346,9.620942,1.2418749
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669143871911,0.715454,9.544372,2.1182463
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669163996963,0.9882358,9.218947,1.4859428
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669184122067,0.9403793,9.16152,1.5822539
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669204247119,0.9499506,9.357731,1.783251
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669224372223,1.0887343,9.34816,1.7545372
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669244497328,1.1365907,9.262018,1.797608
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669264622380,1.3710874,9.065806,1.7306089
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669284738890,1.5098711,9.01795,1.8646071
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669304840661,1.5146568,9.037093,1.9890338
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669324742744,1.442872,9.022736,1.945963
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669344761650,1.3950156,9.056235,1.878964
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669364775453,1.3567305,9.037093,1.8454645
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669384787796,1.4524434,8.998808,2.0368903
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669404804880,1.524228,9.037093,2.161317
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669424780765,1.4189439,9.070593,2.027319
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669444801078,1.4045869,9.056235,2.0081763
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669464811598,1.4476577,9.008379,2.0895324
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669484849098,1.3423735,9.046664,2.1182463
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669504834046,1.1940185,9.132806,2.3670998
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669524852328,1.2083755,9.113664,2.3144577
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669544875348,1.1413764,9.008379,2.2331018
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669564869255,0.86859465,9.185448,2.0368903
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669584906911,0.6053841,9.463016,2.1852453
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669604932171,0.5814559,9.257233,2.4340987
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669624924775,0.63888365,9.343374,2.4580271
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669644927223,0.5814559,9.23809,2.242673
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669664970348,0.6628119,9.257233,2.1804597
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669684964619,0.863809,9.199805,2.4149563
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669704959515,0.997807,9.022736,2.6213372
sensor_accelerometer,eb32497e-f71f-4454-90a9-22fd8f4760ac,1776189669724992848,0.93559366,9.151948,2.5633113
