UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213341746669000,1773213341742501000,0,Insert,a,1,a
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213342003148000,1773213341994821000,1,Insert,d,2,ad
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213342168931000,1773213342163473000,2,Insert,a,3,ada
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213342247342000,1773213342243601000,3,Insert,m,4,adam
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213342386309000,1773213342382485000,4,Insert, ,5,adam 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213342589849000,1773213342582301000,5,Insert,d,6,adam d
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213342642213000,1773213342638020000,6,Insert,n,7,adam dn
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213342912126000,1773213342905959000,7,Insert,e,8,adam dne
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213343057873000,1773213343052675000,8,Insert,s,9,adam dnes
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,1,1773213343154132000,1773213343149235000,9,Insert, ,10,adam dnes 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213358470872000,1773213358462873000,0,Insert,a,1,a
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213358657263000,1773213358653483000,1,Insert,s,2,as
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213358803934000,1773213358800122000,2,Insert,a,3,asa
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213358881811000,1773213358877944000,3,Insert,m,4,asam
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213359010832000,1773213359006387000,4,Insert, ,5,asam 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213359280274000,1773213359276761000,5,Delete, ,4,asam
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213359444172000,1773213359440370000,4,Delete,m,3,asa
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213359581025000,1773213359578186000,3,Delete,a,2,as
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213359726723000,1773213359723887000,2,Delete,s,1,a
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213360267686000,1773213360264272000,1,Insert,d,2,ad
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213360434244000,1773213360430659000,2,Insert,a,3,ada
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213360541927000,1773213360538394000,3,Insert,m,4,adam
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213360670065000,1773213360666490000,4,Insert, ,5,adam 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213360890188000,1773213360876536000,5,Insert,d,6,adam d
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213360953904000,1773213360950271000,6,Insert,n,7,adam dn
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213361055296000,1773213361051616000,7,Insert,e,8,adam dne
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213361194940000,1773213361191173000,8,Insert,s,9,adam dnes
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,2,1773213361273148000,1773213361268961000,9,Insert, ,10,adam dnes 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213374855436000,1773213374852132000,0,Insert, ,1, 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213375457550000,1773213375455442000,1,Delete, ,0,
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213376380744000,1773213376374052000,0,Insert,a,1,a
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213376576310000,1773213376572856000,1,Insert,d,2,ad
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213376735105000,1773213376731466000,2,Insert,a,3,ada
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213376832995000,1773213376829509000,3,Insert,m,4,adam
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213376979617000,1773213376975663000,4,Insert, ,5,adam 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213377200237000,1773213377193334000,5,Insert,d,6,adam d
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213377274317000,1773213377266568000,6,Insert,b,7,adam db
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213377415616000,1773213377411969000,7,Insert,e,8,adam dbe
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213377550290000,1773213377546619000,8,Insert,s,9,adam dbes
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,3,1773213377616387000,1773213377611314000,9,Insert, ,10,adam dbes 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213395689765000,1773213395677948000,0,Insert,a,1,a
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213395878855000,1773213395875359000,1,Insert,d,2,ad
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213396058588000,1773213396055001000,2,Insert,a,3,ada
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213396168137000,1773213396164467000,3,Insert,m,4,adam
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213396366219000,1773213396359682000,4,Insert, ,5,adam 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213396767386000,1773213396761324000,5,Insert,d,6,adam d
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213396878780000,1773213396875156000,6,Insert,n,7,adam dn
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213396970986000,1773213396967426000,7,Insert,e,8,adam dne
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213397124817000,1773213397120730000,8,Insert,s,9,adam dnes
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,4,1773213397227164000,1773213397223433000,9,Insert, ,10,adam dnes 
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,5,1773213434308602000,1773213434298750000,0,Insert,a,1,a
