UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566051629630000,1772566051618939000,0,Insert,D,1,D
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566052041743000,1772566052035902000,1,Insert,n,2,Dn
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566052180538000,1772566052176581000,2,Insert,e,3,Dne
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566052372897000,1772566052369226000,3,Insert,s,4,Dnes
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566052519682000,1772566052515852000,4,Insert, ,5,Dnes 
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566052985391000,1772566052979537000,5,Insert,v,6,Dnes v
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566053351578000,1772566053344259000,6,Insert,o,7,Dnes vo
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566053653538000,1772566053647843000,7,Insert,n,8,Dnes von
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566053876693000,1772566053870674000,8,Insert,k,9,Dnes vonk
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566054089584000,1772566054083208000,9,Insert,u,10,Dnes vonku
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566054326447000,1772566054319822000,10,Insert, ,11,Dnes vonku 
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566054847106000,1772566054840676000,11,Insert,p,12,Dnes vonku p
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566055014187000,1772566055010590000,12,Insert,e,13,Dnes vonku pe
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566055276956000,1772566055270516000,13,Insert,k,14,Dnes vonku pek
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566055531726000,1772566055525833000,14,Insert,n,15,Dnes vonku pekn
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566055656521000,1772566055652971000,15,Insert,e,16,Dnes vonku pekne
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566055777384000,1772566055773379000,16,Insert, ,17,Dnes vonku pekne 
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566056112635000,1772566056106798000,17,Insert,n,18,Dnes vonku pekne n
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566056362385000,1772566056356670000,18,Insert,i,19,Dnes vonku pekne ni
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566056492316000,1772566056488711000,19,Insert,e,20,Dnes vonku pekne nie
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566056662921000,1772566056659258000,20,Insert, ,21,Dnes vonku pekne nie 
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566056921735000,1772566056914036000,21,Insert,j,22,Dnes vonku pekne nie j
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566057021787000,1772566057017827000,22,Insert,e,23,Dnes vonku pekne nie je
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566057876754000,1772566057868174000,23,Insert,",",24,"Dnes vonku pekne nie je,"
ZPw87WT2yagXd9QO1D3a7uqutlJ3,1,1772566058633585000,1772566058624956000,24,Insert, ,25,"Dnes vonku pekne nie je, "
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566082970135000,1772566082964795000,0,Insert,D,1,D
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566083419561000,1772566083413844000,1,Insert,n,2,Dn
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566083557938000,1772566083554372000,2,Insert,e,3,Dne
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566083760649000,1772566083754677000,3,Insert,s,4,Dnes
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566083891436000,1772566083887683000,4,Insert, ,5,Dnes 
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566084224410000,1772566084219233000,5,Insert,v,6,Dnes v
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566084588268000,1772566084582413000,6,Insert,o,7,Dnes vo
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566084900840000,1772566084893590000,7,Insert,n,8,Dnes von
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566085130384000,1772566085123811000,8,Insert,k,9,Dnes vonk
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566085332295000,1772566085326549000,9,Insert,u,10,Dnes vonku
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566085582066000,1772566085576169000,10,Insert, ,11,Dnes vonku 
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566086043420000,1772566086037435000,11,Insert,p,12,Dnes vonku p
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566086186444000,1772566086182821000,12,Insert,e,13,Dnes vonku pe
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566086439250000,1772566086431232000,13,Insert,k,14,Dnes vonku pek
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566086663189000,1772566086658535000,14,Insert,n,15,Dnes vonku pekn
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566086791223000,1772566086787717000,15,Insert,e,16,Dnes vonku pekne
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566086931699000,1772566086927950000,16,Insert, ,17,Dnes vonku pekne 
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566087242608000,1772566087236949000,17,Insert,n,18,Dnes vonku pekne n
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566087510137000,1772566087503115000,18,Insert,i,19,Dnes vonku pekne ni
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566087636810000,1772566087632412000,19,Insert,e,20,Dnes vonku pekne nie
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566087804398000,1772566087800087000,20,Insert, ,21,Dnes vonku pekne nie 
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566088037187000,1772566088031108000,21,Insert,j,22,Dnes vonku pekne nie j
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566088130930000,1772566088126849000,22,Insert,e,23,Dnes vonku pekne nie je
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566089192752000,1772566089182575000,23,Insert,",",24,"Dnes vonku pekne nie je,"
ZPw87WT2yagXd9QO1D3a7uqutlJ3,2,1772566089388213000,1772566089383440000,24,Insert, ,25,"Dnes vonku pekne nie je, "
ZPw87WT2yagXd9QO1D3a7uqutlJ3,3,1772566113698955000,1772566113689139000,0,Insert,D,1,D
ZPw87WT2yagXd9QO1D3a7uqutlJ3,3,1772566113993289000,1772566113987199000,1,Insert,n,2,Dn
ZPw87WT2yagXd9QO1D3a7uqutlJ3,3,1772566114164272000,1772566114156682000,2,Insert,e,3,Dne
