UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267221311987000,1771267221299889000,0,Insert,Z,1,Z
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267221630190000,1771267221623971000,1,Insert,a,2,Za
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267222634383000,1771267222627191000,2,Insert,j,3,Zaj
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267223828363000,1771267223822539000,3,Insert,t,4,Zajt
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267223975562000,1771267223972039000,4,Insert,r,5,Zajtr
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267224404844000,1771267224401239000,5,Insert,a,6,Zajtra
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267224584910000,1771267224581239000,6,Insert, ,7,Zajtra 
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267225005228000,1771267224999301000,7,Insert,d,8,Zajtra d
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267225199659000,1771267225196136000,8,Insert,o,9,Zajtra do
i6SCvQJiqYUDYS1leBqlxRY29jr2,1,1771267225345661000,1771267225341877000,9,Insert,o,10,Zajtra doo
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267260678621000,1771267260675090000,0,Insert,Z,1,Z
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267261137804000,1771267261132090000,1,Insert,a,2,Za
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267261326341000,1771267261322700000,2,Insert,k,3,Zak
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267261664125000,1771267261656444000,3,Insert,t,4,Zakt
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267261802931000,1771267261800481000,4,Insert,r,5,Zaktr
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267261925023000,1771267261920429000,5,Insert,a,6,Zaktra
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267262170124000,1771267262158348000,6,Insert, ,7,Zaktra 
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267262583271000,1771267262579738000,7,Delete, ,6,Zaktra
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267262752380000,1771267262749861000,6,Delete,a,5,Zaktr
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267262924076000,1771267262921105000,5,Delete,r,4,Zakt
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267263106398000,1771267263101370000,4,Delete,t,3,Zak
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267263778476000,1771267263774251000,3,Delete,k,2,Za
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267264146926000,1771267264141097000,2,Insert,j,3,Zaj
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267264499716000,1771267264494020000,3,Insert,t,4,Zajt
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267264634099000,1771267264629279000,4,Insert,r,5,Zajtr
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267264701057000,1771267264696588000,5,Insert,a,6,Zajtra
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267265735971000,1771267265727002000,6,Insert, ,7,Zajtra 
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267266140053000,1771267266134770000,7,Insert,d,8,Zajtra d
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267266428626000,1771267266422811000,8,Insert,o,9,Zajtra do
i6SCvQJiqYUDYS1leBqlxRY29jr2,2,1771267266658189000,1771267266651738000,9,Insert,o,10,Zajtra doo
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267305024596000,1771267305020398000,0,Insert,Z,1,Z
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267305394928000,1771267305387244000,1,Insert,a,2,Za
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267305549361000,1771267305544677000,2,Insert,j,3,Zaj
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267305943581000,1771267305937876000,3,Insert,t,4,Zajt
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267306094260000,1771267306089623000,4,Insert,r,5,Zajtr
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267306186798000,1771267306183290000,5,Insert,a,6,Zajtra
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267306560965000,1771267306554919000,6,Insert, ,7,Zajtra 
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267307591772000,1771267307588125000,7,Insert,d,8,Zajtra d
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267307701148000,1771267307696426000,8,Insert,o,9,Zajtra do
i6SCvQJiqYUDYS1leBqlxRY29jr2,3,1771267307862634000,1771267307859208000,9,Insert,o,10,Zajtra doo
i6SCvQJiqYUDYS1leBqlxRY29jr2,4,1771267337537589000,1771267337533036000,0,Insert,Z,1,Z
i6SCvQJiqYUDYS1leBqlxRY29jr2,4,1771267337873920000,1771267337866847000,1,Insert,a,2,Za
i6SCvQJiqYUDYS1leBqlxRY29jr2,4,1771267338014274000,1771267338010804000,2,Insert,j,3,Zaj
i6SCvQJiqYUDYS1leBqlxRY29jr2,4,1771267338306248000,1771267338300397000,3,Insert,t,4,Zajt
