UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163565795161000,1771163565781178000,0,Insert,L,1,L
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163566010642000,1771163566001988000,1,Insert,a,2,La
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163566092803000,1771163566089100000,2,Insert,b,3,Lab
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163566310831000,1771163566304407000,3,Insert,u,4,Labu
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163566532458000,1771163566529064000,4,Insert,b,5,Labub
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163566701792000,1771163566697896000,5,Insert,u,6,Labubu
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163566907899000,1771163566898445000,6,Insert, ,7,Labubu 
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163567155293000,1771163567150013000,7,Insert,l,8,Labubu l
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163567360304000,1771163567354736000,8,Insert,a,9,Labubu la
t10BGl5P7lfLJnosyzeNchO2Cgw1,1,1771163567495269000,1771163567491467000,9,Insert,b,10,Labubu lab
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163586721141000,1771163586717079000,0,Insert, ,1, 
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163586941473000,1771163586938058000,1,Insert,l,2, l
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163587140052000,1771163587132022000,2,Insert,a,3, la
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163588232502000,1771163588228533000,3,Insert,b,4, lab
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163588447909000,1771163588442394000,4,Insert,u,5, labu
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163588763046000,1771163588757927000,5,Insert,b,6, labub
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163588965305000,1771163588959466000,6,Insert,u,7, labubu
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163589178836000,1771163589171659000,7,Insert, ,8, labubu 
t10BGl5P7lfLJnosyzeNchO2Cgw1,2,1771163589417629000,1771163589409512000,8,Insert,l,9, labubu l
