UserId,RoundId,TimestampAfterNs,TimestampBeforeNs,ContentLengthBefore,ActionType,KeyChar,CursorPosition,InputContent
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465221655970000,1771465221638123000,0,Insert,C,1,C
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465221935791000,1771465221930188000,1,Insert,e,2,Ce
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465222121200000,1771465222117401000,2,Insert,s,3,Ces
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465222416346000,1771465222410411000,3,Insert,t,4,Cest
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465222663154000,1771465222657471000,4,Insert,u,5,Cestu
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465222843032000,1771465222839406000,5,Insert,j,6,Cestuj
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465223112271000,1771465223106614000,6,Insert,e,7,Cestuje
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465223687226000,1771465223683835000,7,Insert,m,8,Cestujem
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465223973027000,1771465223967576000,8,Insert,e,9,Cestujeme
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465224967591000,1771465224958900000,9,Insert, ,10,Cestujeme 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465225307388000,1771465225303889000,10,Insert,a,11,Cestujeme a
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465225683451000,1771465225677189000,11,Insert,u,12,Cestujeme au
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465226017566000,1771465226011995000,12,Insert,t,13,Cestujeme aut
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465226336458000,1771465226332012000,13,Insert,o,14,Cestujeme auto
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465226648898000,1771465226641267000,14,Insert,m,15,Cestujeme autom
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465227098081000,1771465227093159000,15,Insert, ,16,Cestujeme autom 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465227604061000,1771465227597479000,16,Insert,a,17,Cestujeme autom a
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465227970320000,1771465227964608000,17,Insert,l,18,Cestujeme autom al
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465228238115000,1771465228232216000,18,Insert,e,19,Cestujeme autom ale
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465228546003000,1771465228540026000,19,Insert, ,20,Cestujeme autom ale 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465228783577000,1771465228777333000,20,Insert,m,21,Cestujeme autom ale m
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465229020987000,1771465229014075000,21,Insert,u,22,Cestujeme autom ale mu
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465229504403000,1771465229498269000,22,Insert,s,23,Cestujeme autom ale mus
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465229813044000,1771465229806997000,23,Insert,i,24,Cestujeme autom ale musi
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465230085864000,1771465230079887000,24,Insert,m,25,Cestujeme autom ale musim
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465230359267000,1771465230352949000,25,Insert,e,26,Cestujeme autom ale musime
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465230649840000,1771465230643138000,26,Insert, ,27,Cestujeme autom ale musime 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465230940371000,1771465230934709000,27,Insert,i,28,Cestujeme autom ale musime i
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465231294223000,1771465231288215000,28,Insert,s,29,Cestujeme autom ale musime is
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465231555222000,1771465231548995000,29,Insert,t,30,Cestujeme autom ale musime ist
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465231846456000,1771465231842186000,30,Insert, ,31,Cestujeme autom ale musime ist 
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465232191631000,1771465232183269000,31,Insert,o,32,Cestujeme autom ale musime ist o
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465232382573000,1771465232378623000,32,Insert,o,33,Cestujeme autom ale musime ist oo
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465232658342000,1771465232651901000,33,Insert,m,34,Cestujeme autom ale musime ist oom
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465232963073000,1771465232959207000,34,Insert,a,35,Cestujeme autom ale musime ist ooma
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465233337901000,1771465233331560000,35,Insert,l,36,Cestujeme autom ale musime ist oomal
wL7w4dmBmxSYXUEO9tYBUp6XaA22,1,1771465233678600000,1771465233671685000,36,Insert,y,37,Cestujeme autom ale musime ist oomaly
