UserId,RoundId,cps,wpm,total_duration,typing_efficiency,error_rate,backspace_count,mean_corr_time,mean_burst_size,burst_count,max_burst_size,n_inserts,n_dd_valid,n_ft_valid,n_uu_valid,dd_valid_ratio,ft_valid_ratio,uu_valid_ratio,backspace_per_char,burst_count_per_char,long_pause_per_char,micro_pause_per_char,space_pd,space_ft,vowel_pd,consonant_pd,special_pd,capital_pd,long_pause_count,dd_cv_ratio,dd_iqr,micro_pause_count,dd_trend_slope,dd_vc_mean,dd_vc_std,dd_vc_median,dd_vc_count,dd_cv_mean,dd_cv_std,dd_cv_median,dd_cv_count,dd_cc_mean,dd_cc_std,dd_cc_median,dd_cc_count,dd_ls_mean,dd_ls_std,dd_ls_median,dd_ls_count,dd_sl_mean,dd_sl_std,dd_sl_median,dd_sl_count,pd_mean,pd_std,pd_median,pd_min,pd_max,pd_skew,pd_kurt,ft_mean,ft_std,ft_median,ft_min,ft_max,ft_skew,ft_kurt,dd_mean,dd_std,dd_median,dd_min,dd_max,dd_skew,dd_kurt,uu_mean,uu_std,uu_median,uu_min,uu_max,uu_skew,uu_kurt,acc_cov,acc_mag_mean,acc_mag_std,acc_energy,acc_rms,acc_jerk_std,acc_mag_median,acc_mag_iqr,acc_axis_corr_xy,acc_axis_corr_xz,acc_axis_corr_yz,acc_mag_p95,acc_mag_p99,acc_mag_mad,acc_mag_trend_slope,acc_mag_spectral_entropy,acc_planarity,acc_cv,acc_n_samples,acc_duration_sec,acc_dt_mean,acc_dt_std,acc_fs_hz,acc_auc_per_char_mean,acc_peak_to_rms_ratio_mean,acc_post_pre_energy_ratio_mean,acc_rise_time_ms_mean,acc_keystroke_xcorr_lag_ms,acc_keystroke_xcorr_peak,acc_peak_space_minus_letter,acc_peak_per_char_mean,acc_jerk_peak_per_char_mean,acc_energy_per_char,acc_peak_lag_mean_ms,corr_dd_acc_energy,fast_slow_acc_ratio,gyro_cov,gyro_mag_mean,gyro_mag_std,gyro_energy,gyro_rms,gyro_jerk_std,gyro_mag_median,gyro_mag_iqr,gyro_axis_corr_xy,gyro_axis_corr_xz,gyro_axis_corr_yz,gyro_mag_p95,gyro_mag_p99,gyro_mag_mad,gyro_mag_trend_slope,gyro_mag_spectral_entropy,gyro_planarity,gyro_cv,gyro_n_samples,gyro_duration_sec,gyro_dt_mean,gyro_dt_std,gyro_fs_hz,gyro_auc_per_char_mean,gyro_peak_to_rms_ratio_mean,gyro_post_pre_energy_ratio_mean,gyro_rise_time_ms_mean,gyro_keystroke_xcorr_lag_ms,gyro_keystroke_xcorr_peak,gyro_peak_space_minus_letter,gyro_peak_per_char_mean,gyro_jerk_peak_per_char_mean,gyro_energy_per_char,gyro_peak_lag_mean_ms,corr_dd_gyro_energy,fast_slow_gyro_ratio,corr_acc_gyro_peak_per_char,gyro_to_acc_energy_ratio_per_char_mean
30m2mK6UrdfP8ENgCSldqeHYwjq2,1,3.9248351201028666,47.098021441234394,22.421324031999998,0.8636363636363636,0.07317073170731707,6,995.6308333333332,27.333333333333332,3,68,82,87,87,87,1.0,1.0,1.0,0.07317073170731707,0.036585365853658534,0.012195121951219513,0.036585365853658534,7.5942307692307685,239.54430030769237,6.384344827586208,5.861441860465116,8.00525,26.56,1,0.6361724357026319,102.32486400000002,3,-0.07679220867208467,215.4363,77.35139322264473,209.06349999999998,20,190.41184615384614,85.57208020549334,190.515,26,570.5391666666666,851.5557270350347,235.0855,6,245.29584615384613,80.38869495545394,244.313,13,308.56107692307694,110.38433712900691,284.469,13,6.423545454545455,3.164109160493571,5.904,2.365,26.56,3.290112545806875,18.13995022631571,251.31952551724146,163.55058697736644,208.608,67.8208,1109.163776,3.0651586700610554,12.03091145903023,257.716368183908,163.95204966799304,217.116928,74.043904,1121.436928,3.064056051807386,12.069366977512447,257.51162997701147,164.1278064811432,215.40608,71.924992,1117.501952,3.045077545564926,11.949977581840102,1.0,0.345222287034866,0.2099208378786112,0.16320587541985385,0.4039874693846999,10.860894306812058,0.3000417592972905,0.23738527151057223,-0.3050406670522618,0.169895635594145,-0.03283997762458886,0.7786356651705585,1.0101171950268018,0.11488583668437785,0.001937614927671074,0.8249433685561225,0.6760864133899721,0.6080744081780852,1121,22.413869214,0.020012383226785717,1.6485492097864772e-05,49.96837876070728,0.04132615812034416,1.7451846344546034,95169.38362651953,47.57927908536586,-80.0,0.08140316679291734,-0.2765644748414717,0.7158176381271382,22.0374961686321,0.04464687856979896,74.82887656790123,0.7767987152450463,1.9746852952663765,1.0,0.12620299543820185,0.07932917405836806,0.022214700071488094,0.1490459663039832,3.4772024677163618,0.1085183950649539,0.09623797066751519,-0.02719748567514439,-0.41149878356384867,-0.02485698627378376,0.28092939576209813,0.38442676425906025,0.04578446859791989,0.0015427734130158684,0.7929008952417134,0.6047359857465308,0.6285839237248009,1121,22.413869214,0.020012383226785717,1.6484119757750896e-05,49.96837876070728,0.005280552261059416,1.7267536079551529,8212.664994355686,44.11737887804879,-100.0,0.1220441550709924,-0.011832257729524231,0.25363350401864626,7.169625335526795,0.006075392811900606,75.81729597530864,0.7200244754759665,1.705956977869113,0.614362432628541,0.1360765381688681
30m2mK6UrdfP8ENgCSldqeHYwjq2,2,4.0840014508383735,49.00801741006048,19.09891584,0.9743589743589743,0.012987012987012988,1,669.034,38.5,2,75,77,77,77,77,1.0,1.0,1.0,0.012987012987012988,0.025974025974025976,0.0,0.0,8.010384615384616,259.9797366153846,5.22304,6.953783783783782,8.4043125,9.585,0,0.4877146975019199,97.51091200000002,0,1.0575113328776518,236.17772222222226,87.02334583709711,229.6775,18,170.57066666666665,56.62916223279668,187.8645,24,223.3272,42.71108661343095,207.1,5,265.21861538461536,106.92774425637347,256.522,13,336.6941538461539,136.9754830318466,280.508,13,6.696602564102564,2.579205174758269,6.474,3.591,13.03,0.6393607081063388,-0.4207386976652914,241.38189797402597,120.78717248514911,229.164032,45.037056,681.897984,1.5458888319244333,3.2808107661227623,248.03786805194807,120.97171378597697,233.185024,52.090112,691.900928,1.5730657165110005,3.4296786962641868,248.04099989610384,121.9746388893258,236.144896,48.844032,693.112064,1.5354582727428119,3.2404725888739696,1.0,0.3712267286405735,0.21553977930558724,0.18421803403184023,0.42920628377487696,12.049789857943159,0.32989482727613445,0.27324116089414663,-0.22057452363573796,0.13345250569674993,0.06744936658085546,0.8007359091685933,1.0194387681743253,0.12969464373396603,-0.003482480932301139,0.8569878102033432,0.7099108981028758,0.5806149252638423,955,19.09185849,0.020012430283018866,1.802152429604833e-05,49.968573514903696,0.04567318932299877,1.6887419436020352,520420.86762113986,44.44298811688312,-100.0,0.09927155911179009,-0.2518809529474836,0.7288872905347321,22.883038426839807,0.045717067856188745,69.19273586842105,0.60462354317485,2.5599405252442167,1.0,0.1277474271127308,0.0762156577116714,0.022122149073527924,0.14873516421320118,3.6341273213141116,0.1135693716754131,0.09857256256759281,-0.16059868607515498,-0.3893280277393478,0.12355349903799089,0.2772020725209436,0.3709620753403303,0.04648351522316524,0.00021319231720375845,0.8318386793265323,0.6724103176749425,0.5966120761431449,955,19.09185849,0.020012430283018866,1.802152429604833e-05,49.968573514903696,0.0048741821731001405,1.7584806309341836,30165.54263777832,45.633744428571426,-80.0,0.10071317269856338,-0.02942743588556354,0.2487443884192654,7.439975133912712,0.005489340121109218,73.66969515789474,0.654413755613215,2.0967883728981587,0.37115538861809205,0.12007200501801468
30m2mK6UrdfP8ENgCSldqeHYwjq2,3,3.739841657706447,44.87809989247736,22.995625984,0.8837209302325582,0.06172839506172839,5,633.9948,20.25,4,40,81,85,85,85,1.0,1.0,1.0,0.06172839506172839,0.04938271604938271,0.012345679012345678,0.037037037037037035,6.95935294117647,275.8417618823529,6.300999999999999,6.709744186046513,7.580833333333333,4.553,1,0.6321524252394817,120.327936,3,1.9394678856071272,261.5505789473684,179.05364698861615,219.504,19,205.95683333333332,58.20449571659554,209.9725,24,406.3372857142857,429.50225970756514,209.419,7,248.71920000000003,105.59229927495389,228.846,15,433.8701333333333,462.06753426959233,330.923,15,6.773244186046511,2.62035633381078,6.625,3.212,18.146,1.2396592587383828,2.9866779519900506,263.89731689411764,170.77327327540462,219.693056,89.817856,1196.274944,3.0012550971389524,12.030973289784203,270.53677628235295,171.0204792433605,226.811136,97.735936,1204.977152,3.013645536511898,12.097825132864497,270.6966949647059,172.2313066364211,227.805952,94.377984,1214.420992,3.010828165348252,12.164110064073778,0.9991304347826087,0.3513601443086523,0.21405136277788603,0.16923206051365927,0.411378245066094,11.684714383112714,0.3067967774022749,0.25612418582149166,-0.21262556089474327,0.11939944062508807,0.05334574979780441,0.7755789897944432,1.0520913145822712,0.12307501894897285,-0.0008792266414941688,0.8455029615668522,0.6715468587150274,0.609207863342214,1149,22.974304375,0.02001246025696864,1.9991357144013977e-05,49.96785817523324,0.04226248621015245,1.7220129153737342,293449.0415283751,42.87973813580247,-120.0,0.10007375532868333,-0.21451863328115206,0.7142826867054396,22.979218852039974,0.04802541304319885,61.379684600000004,0.7497309217746583,1.6499311725407786,0.9991304347826087,0.14098735329507245,0.09458085618819029,0.028815186647435223,0.1697503656768822,3.920938441976888,0.12023993405750025,0.10802190561866351,-0.18013175583309238,-0.3810146789047797,0.19928875273758376,0.31930300768272984,0.4450161032113654,0.05194399478325887,0.0008243496247068037,0.8043558109371585,0.7328182083557224,0.6708463842869793,1149,22.974304375,0.02001246025696864,1.9991357144013977e-05,49.96785817523324,0.006924358031376805,1.7290152001461632,15444.513927444335,44.46597909876543,-60.0,0.12872504059011908,-0.0259436802272488,0.2843837222821119,8.060116115134289,0.008180164391774207,81.38937472500001,0.6518147300750481,1.4055701631796829,0.510065591796894,0.17032990875239828
30m2mK6UrdfP8ENgCSldqeHYwjq2,4,4.174949158531862,50.09938990238235,21.078100992,0.8636363636363636,0.07317073170731707,6,592.9053333333333,20.5,4,44,82,87,87,87,1.0,1.0,1.0,0.07317073170731707,0.04878048780487805,0.0,0.012195121951219513,7.004411764705883,260.4592489411765,5.480000000000001,6.076048780487805,7.459388888888889,5.726,0,0.46434225013666763,92.82240000000002,1,-0.13824017615176176,214.2474210526316,65.42242455790742,203.619,19,198.77404347826086,73.79516274149329,190.964,23,195.5875714285714,38.38870732762063,188.275,7,238.57226666666665,91.56158788992144,229.983,15,425.69893333333334,369.1423854607299,273.814,15,6.162579545454546,2.4807140366295397,5.432499999999999,3.51,15.194,1.400369742914849,2.150002780615402,236.21826501149422,112.32798721895848,202.569984,89.878016,705.88416,1.7604967880138216,3.8368393848242763,242.27702289655173,112.49945796819777,211.467008,99.000064,709.82016,1.7435775347907467,3.7447255541061595,242.3858523218391,113.42131011738967,209.272064,94.086912,714.813184,1.725872738719607,3.6875352329967215,1.0,0.4001326367158158,0.2441446665240716,0.21965619238861792,0.46867493253706016,13.280872695446499,0.34780405640689294,0.3275720880298889,-0.28470914086519405,0.10342610508570753,0.014296694179011036,0.8730657180583878,1.1397763448102773,0.15003401307234013,-0.0026496352980136207,0.8366820022235402,0.665098882096882,0.6101593424819012,1054,21.073064896,0.020012407308641976,2.143127417645626e-05,49.96954855710725,0.05364259014432642,1.799331640486313,194863.05473549236,51.17295504878049,100.0,0.10684858770099878,-0.15740943845844857,0.844317662179921,26.48083507112447,0.05649594702287015,80.0952206419753,0.6795431584511099,2.302833720673558,1.0,0.1608438700313941,0.10228060746705843,0.03632214783693549,0.19058370296784427,4.649850716696534,0.13720647829076588,0.13510220240019544,-0.059253309437222956,-0.37628658827904543,0.07620150568059965,0.3560072389321348,0.46218366588699755,0.06614052446646923,-0.0002385392447503628,0.8173305161848989,0.7505157550259549,0.6358999410241429,1054,21.073064896,0.020012407308641976,2.143127417645626e-05,49.96954855710725,0.008274106618317085,1.7460322566121775,38049.79611952625,43.64344314634146,-100.0,0.11748538197594327,0.04466116947628079,0.319792196833508,9.485738829728918,0.009336947267762125,68.48529204938272,0.5897609385613055,1.8027040139137944,0.362311554739218,0.16526755624991782
30m2mK6UrdfP8ENgCSldqeHYwjq2,5,3.817390493954551,45.80868592745462,25.148069120000002,0.7916666666666666,0.11627906976744186,10,919.2976000000001,28.666666666666668,3,60,86,95,95,95,1.0,1.0,1.0,0.11627906976744186,0.03488372093023256,0.011627906976744186,0.046511627906976744,6.705133333333334,248.23947946666667,6.318483870967743,6.693673469387755,6.92725,7.264,1,0.7404910448156996,109.98297599999998,4,2.0042085010748463,292.5475909090909,352.61552813127906,224.73250000000002,22,195.66170370370367,52.12191034031865,195.042,27,427.92228571428575,561.6648960102796,212.715,7,257.55121428571425,163.93025002171294,199.36399999999998,14,438.5782857142857,366.0965046168583,287.52,14,6.611447916666667,2.0884222393688376,6.384,2.944,12.587,0.6819875566992799,0.15531683567098353,258.1434583578947,195.72365881073367,205.636864,47.04512,1445.10592,3.459455175413603,15.836124858035493,264.7165170526316,196.02021029227615,212.715008,51.756032,1455.508992,3.4684969027013817,15.92228251999559,264.74804277894737,196.9167377330867,212.737792,50.642176,1457.28896,3.4452457731111665,15.739827651180764,0.9992044550517104,0.3905539295966097,0.24556116366661074,0.21278464724352195,0.4612858628264278,13.449955550679547,0.33605371165794395,0.2844280858169561,-0.21722400298169625,0.09982034841374639,0.1459094365390067,0.8203058221488952,1.0895258991781915,0.13308014827476058,-0.007698848470451089,0.8575712856702796,0.6541216039750987,0.6287509740850458,1256,25.115593385,0.020012425007968127,1.9147684869093327e-05,49.96760100750765,0.05334673062214285,1.7899173606240586,320584.520961082,57.97867431395348,-100.0,0.1408267869888355,0.014141152492171294,0.8382585049494417,26.806480542601427,0.062187512229398556,78.21274077647058,0.6444158164478803,1.3429335665525552,0.9992044550517104,0.15530542615110374,0.09802754410303167,0.03372152399914483,0.18363421249632333,4.216325274707702,0.1362054461466951,0.11275446354228229,-0.13809157723142176,-0.3648315330153105,0.10686821055505848,0.3381389508716087,0.4996873758453359,0.0564764068406511,-0.0023511358258573463,0.8311415268069136,0.7279479543648565,0.6311920100438487,1256,25.115593385,0.020012425007968127,1.9147684869093327e-05,49.96760100750765,0.007913644338491184,1.7732804531755408,23134.380738157583,44.79416102325581,-80.0,0.11332104399001112,0.019986947152028756,0.32221875959203045,8.529407946630842,0.009850897856103397,78.4471354,0.7538422143179445,1.2761370386276647,0.18026478477426,0.15840636398765787
30m2mK6UrdfP8ENgCSldqeHYwjq2,6,4.079428158262653,48.953137899151834,19.120326912000003,0.9743589743589743,0.012987012987012988,1,919.367,38.5,2,75,77,77,77,77,1.0,1.0,1.0,0.012987012987012988,0.025974025974025976,0.0,0.025974025974025976,6.868538461538463,254.92332307692308,5.97924,6.7262051282051285,7.018857142857144,7.486,0,0.5419628492077058,99.68,2,1.666067846889956,220.55578947368423,79.17886017224193,204.904,19,185.54595833333335,52.58640852463617,192.0965,24,400.2863333333333,411.443119923844,241.83249999999998,6,260.71361538461537,147.04150771836416,226.135,13,338.5815384615384,144.9611405857994,317.212,13,6.539320512820514,2.4743747655423944,6.087,3.658,19.144,2.1855726974705747,8.006372978198272,241.80822441558442,134.47245409177484,212.283136,62.089984,919.366912,2.6808956932907653,9.667710343040154,248.315933922078,134.5780110520818,216.822016,65.870848,926.614016,2.6827331283520333,9.668057523410562,248.33524696103896,135.61577185472353,217.586944,65.810176,926.520064,2.6483509693521317,9.420694819861161,1.0,0.3493998088331765,0.216510915779841,0.16890816857008,0.4109843896914821,12.062338655593043,0.3025506347113539,0.2716216304907201,-0.2677328129980618,0.10280097652760686,-0.02046948033581712,0.7646454799231093,1.0275609755535726,0.12980942984052246,-0.011996587850921999,0.8622071315244872,0.704415636768574,0.6196652382349062,956,19.111862321,0.02001242127853403,1.817501082894301e-05,49.969159035043674,0.04108589791540329,1.7828338676613413,975961.0503360807,44.38206959740259,-100.0,0.11257594606793683,-0.224856320540894,0.7245225272020038,23.80146700412201,0.041966149939337075,72.70417963157895,0.45352055740404723,3.281497507712174,1.0,0.1327065473029514,0.074943480199458,0.023221677895091667,0.1523866066788406,3.6288690291601142,0.1194627025839671,0.09216379613574294,-0.12039752347141398,-0.4387159675926283,0.15897068376640058,0.2735815620584349,0.3602452661727278,0.04459458770233631,-0.002167039288478826,0.8426713637328188,0.7035663755567444,0.5647308420161968,956,19.111862321,0.02001242127853403,1.817501082894301e-05,49.969159035043674,0.005504076601308945,1.7432057764045152,74114.49727847781,42.9070498051948,-80.0,0.1265996812458701,0.008541046537354713,0.266508411096867,7.355652263889327,0.00576512699307773,70.59630343421053,0.5514266545984959,2.372892627611924,0.2630669583590757,0.13737564356119622
30m2mK6UrdfP8ENgCSldqeHYwjq2,7,4.02345332960655,48.2814399552786,22.368844032,0.8444444444444444,0.08433734939759036,7,656.834,20.75,4,38,83,89,89,89,1.0,1.0,1.0,0.08433734939759036,0.04819277108433735,0.0,0.024096385542168676,7.183999999999999,295.23693226666666,5.3374827586206885,6.540444444444446,7.5606875,5.649,0,0.5328076774597378,98.26406400000002,2,1.5286408506655367,249.44199999999995,151.4401642322802,214.165,21,190.94507692307693,60.930847299490644,199.449,26,215.08285714285714,51.51133573764312,227.937,7,348.2220714285714,333.6966890623105,255.6055,14,413.23578571428567,289.3347349373356,299.57399999999996,14,6.3342,2.4881391187305635,5.898,2.902,16.632,1.3220089690683812,2.393053013941927,245.07841006741572,133.57637041591488,214.433024,91.475968,996.763904,2.8143360936876527,11.885518494787249,251.33532620224716,133.91339141740488,219.63392,102.729984,1006.020096,2.836128080334409,12.00146875878647,251.42029231460674,134.6633863478991,219.12704,97.225984,1003.795968,2.7598027341788636,11.493181124809077,1.0,0.32350845961542,0.17623179746706563,0.1356875902332375,0.3683579648022254,10.68406711582384,0.2875311546399048,0.2305359966018451,-0.2785486660848413,0.1086302781728722,0.07403307172950019,0.6729653366195522,0.82605358596416,0.10768287293183465,-0.0032320797810016853,0.8922430797548145,0.6823516955982014,0.5447517436686702,1118,22.35392375,0.020012465308863026,1.782902830743629e-05,49.96902919570384,0.033228796537910915,1.7617776157452574,506047.64356825786,37.04587698795181,220.0,0.09935556678879492,-0.126701839485985,0.6610348896786004,21.854035522958203,0.036574368185386515,72.68735259756097,0.8306663353572261,1.9599888628775302,1.0,0.13244875872472472,0.08763955361904052,0.025216495018216233,0.15879702458867492,3.7867610949694717,0.11434087170688495,0.1031130804192352,-0.22548171505565204,-0.4489783236099169,0.3259946322088285,0.2851411581267411,0.41653725531013625,0.04982010060486882,-0.0008556420987827411,0.8189971229538756,0.7564867291402095,0.6616864851197771,1118,22.35392375,0.020012465308863026,1.782902830743629e-05,49.96902919570384,0.006216623640950848,1.778834408811985,29539.97180770524,46.77072392771085,-60.0,0.1045672150818584,0.04833647184735895,0.2751709680853881,7.839915690902311,0.006795282932723389,75.86284231707317,0.507313103300788,1.169376148777549,0.06592180713263071,0.18579357851067135
30m2mK6UrdfP8ENgCSldqeHYwjq2,8,4.002822835964162,48.033874031569944,20.485543167999996,0.926829268292683,0.0379746835443038,3,558.121,39.5,2,63,79,81,81,81,1.0,1.0,1.0,0.0379746835443038,0.02531645569620253,0.0,0.02531645569620253,6.406153846153846,239.74299569230772,5.682703703703703,7.403487804878049,6.654285714285714,5.572,0,0.5568916875741599,115.21100799999999,2,0.45008966982384957,242.679,116.96931591946098,216.505,19,179.72920833333333,61.01438476078668,189.37349999999998,24,234.7245714285714,50.563132144732826,219.571,7,246.29123076923074,96.34546492453936,259.744,13,396.9895384615384,234.03082600041367,309.179,13,6.708975609756097,2.5642647153252276,6.5445,2.909,15.179,0.8564411465303045,0.6550635124807318,246.23811002469137,141.0443029366329,211.93984,77.985024,837.475072,2.3858689482319937,7.1958110194663645,252.90794034567898,140.8423297000101,216.505088,85.929984,845.705216,2.401701568743527,7.275141259084479,252.96112197530857,141.9664769053063,219.757824,81.711104,845.700096,2.3650635482251476,7.110273197739478,1.0,0.35652876615263734,0.21036106076795916,0.17132132235685293,0.41390979978354336,11.208424557072634,0.31524932666584493,0.27068447173945276,-0.043460435152752094,0.1378943158469597,-0.06656409868479543,0.7691903473812386,0.9775113111673144,0.12743191997841277,-0.0055653381529786345,0.8453264983061597,0.6881673459850438,0.5900254922989839,1024,20.47273026,0.02001244404692082,1.8503512474486962e-05,49.968380009133504,0.03952456914042207,1.7802814001675302,867907.3627718014,50.2703386835443,-80.0,0.07207941319366212,-0.06368686369747789,0.7145586980250717,21.96805539807305,0.0444356485188163,76.59515693589744,0.7690138009097465,1.5840200399913,1.0,0.14887590741607176,0.09425158703775634,0.031038722310224275,0.17617809827054065,4.280854592830562,0.1302467446849429,0.11578195302032532,-0.2735766285146404,-0.3957454989875428,0.21407403268088215,0.3330548003043973,0.4422681023237056,0.05554348016931686,-0.00032043492827871445,0.8392059651886769,0.7079983609268834,0.6330882455973631,1024,20.47273026,0.02001244404692082,1.8503512474486962e-05,49.968380009133504,0.006968842611656275,1.817418922780843,45956.98747714328,45.00136827848102,-100.0,0.14195516448392495,0.04900417853659955,0.3025631331195683,8.457659839224567,0.008049862488239109,73.77389625641025,0.7312996645370247,1.313975855871754,0.2519722018146449,0.1811577545373876
30m2mK6UrdfP8ENgCSldqeHYwjq2,9,3.4666738242033044,41.60008589043965,24.807641088000004,0.8837209302325582,0.06172839506172839,5,640.5516,27.0,3,64,81,85,85,85,1.0,1.0,1.0,0.06172839506172839,0.037037037037037035,0.012345679012345678,0.04938271604938271,8.038846153846153,283.79711015384623,6.056555555555555,7.437744186046511,8.0923125,5.407,1,0.6388035216903654,113.96224000000001,4,0.876933790436007,237.3023157894737,64.65807427713935,244.615,19,247.36156000000003,261.2749252666432,197.72,25,225.73057142857144,75.93802665080945,228.421,7,290.07376923076924,109.58526490223176,268.519,13,521.7634615384615,317.6651017509413,417.902,13,7.1258953488372105,2.878824094207542,6.798,3.385,15.344,0.8363085531653326,0.38215711213975956,284.75765157647055,186.63325644891773,245.182976,73.067008,1136.60288,2.561498966073916,7.720037662356708,291.85460103529414,186.43774696288244,252.228864,81.963008,1146.941952,2.580628697468234,7.803209369697262,291.90377712941176,187.49119316199514,254.716928,77.197056,1143.648768,2.5395668292110445,7.620544429422418,1.0,0.3226133770027242,0.19683357740926175,0.14279160349328474,0.3778777626340094,10.38026772564412,0.2778812305485202,0.24028741519832594,-0.021030952607582636,-0.008480356802082159,0.10407580414925471,0.7044840726888534,1.0009124394739972,0.11548262090423639,-0.0023903694568091875,0.8428321386813601,0.7037153692637399,0.6101221816589448,1240,24.795476175,0.020012490859564164,1.6424282513281612e-05,49.96825017384095,0.03453615905516861,1.7915932923938664,1139851.0488171515,53.23530025925927,-100.0,0.12191437667230892,-0.11801808972640249,0.6664021701624353,20.56241790056396,0.04374457961672974,79.13141820000001,0.7677727283793395,1.2662152325419023,1.0,0.13384560610071325,0.08413075770731403,0.024986922612944704,0.15807252327000004,3.63049552870835,0.11718533754594147,0.10532728176449083,-0.25117525416229336,-0.18764206381590445,0.15715943652112102,0.29478916247542786,0.40468280624134195,0.051727707030266204,-0.00019825363711257622,0.8308208505749756,0.7419347083080299,0.6285657046075097,1240,24.795476175,0.020012490859564164,1.6424282513281612e-05,49.96825017384095,0.006017995981605958,1.728574123429297,29684.8315573387,36.013338999999995,-80.0,0.07433284612451492,-0.021576283588727763,0.2647009153377986,7.3692876229700355,0.007652467646788487,68.3759898625,0.7213477498768893,1.136724569850398,0.38181036023718157,0.1749352157204558
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,3.9574465436864945,47.489358524237936,21.225807872000004,0.9047619047619048,0.05,4,746.3407500000001,40.0,2,59,80,83,83,83,1.0,1.0,1.0,0.05,0.025,0.0125,0.0125,7.224533333333335,226.6293418666667,5.9981481481481485,6.503536585365853,7.239125,3.461,1,0.5668342249945407,116.00896000000003,1,0.8640733446932847,270.90605,139.31620128495842,234.5285,20,203.92624,105.42200937354906,201.596,25,209.12059999999997,53.16649640798234,205.022,5,218.78214285714284,75.44964050162318,223.0555,14,446.96264285714284,363.39360358000613,301.45500000000004,14,6.481202380952381,2.502948169032218,6.0184999999999995,2.909,15.019,0.9769824999372627,0.9917975794514424,249.2632057831325,144.66263042130316,215.741184,77.085952,1101.56288,3.1014046353570475,14.52681003167378,255.73262496385547,144.95800427720656,221.490176,83.75296,1110.368,3.106618297456496,14.564858974340435,255.78078380722891,144.7711997816873,223.554816,80.596992,1106.339072,3.0595289914315673,14.317356213825576,1.0,0.3371820787305783,0.20373854639351144,0.15516202660513564,0.39390611394739183,10.876420198779986,0.29569303957095544,0.24365094897025386,-0.12965751307218656,0.08409497156934112,0.06262127504825402,0.73680556604656,0.9821129085929722,0.11540388099769278,-0.0051664960908114855,0.8366235005175765,0.7144278986560124,0.6042389535070947,1061,21.213258021,0.020012507566981134,1.7617222531742647e-05,49.968119090816515,0.03824298466230594,1.7730636299814058,629378.2497177004,55.12697036249999,-100.0,0.09900454399096813,-0.07929344696886542,0.6861019154505719,21.57060132043206,0.04117139333974615,81.94180577215191,0.6100038552638636,2.961363677412492,1.0,0.14057757728147616,0.08673991429360606,0.027278776719307587,0.16516287936248747,3.885077952466035,0.12342206508949453,0.10703708402570518,-0.19493856533147,-0.21797088077961543,0.20039510171683714,0.30386666830897985,0.42570348759585386,0.052211093511721304,-0.0013607048709987882,0.8196243812267696,0.6959687471155689,0.6170252466360845,1061,21.213258021,0.020012507566981134,1.7617222531742647e-05,49.968119090816515,0.006537998143296707,1.7110497558131819,43765.26494383115,42.7195321875,-80.0,0.11870337660180161,0.007346399999435926,0.2765330635112502,7.623157478723686,0.007234521256856174,76.37079451898734,0.6443326466904907,2.4548427560111117,0.39939444352142073,0.17571717870803547
