rank,feature,mean_importance,std_importance
1,dd_median,0.04618269611171795,0.024376383467497716
2,dd_ls_median,0.04322968979364476,0.03119983886954045
3,ft_median,0.04202404242292404,0.02140376234027527
4,dd_vc_median,0.04020610445038805,0.028454224523932658
5,dd_cv_median,0.03476032151405152,0.020905615423493173
6,dd_min,0.033938260035157736,0.02571319639285589
7,dd_cv_mean,0.032252244087529525,0.021210412092748057
8,uu_median,0.0308062220214364,0.015390545519324643
9,ft_min,0.029555061854904155,0.020663911974174075
10,uu_min,0.028799124501183188,0.020434619090188563
11,dd_sl_median,0.026012898590952255,0.02777126186527732
12,wpm,0.023408869310652163,0.014616432763252946
13,uu_mean,0.02308788561544058,0.015242049346133426
14,pd_median,0.022903718779782863,0.02298691085458312
15,dd_sl_mean,0.02231877394369929,0.02613226727221638
16,dd_cc_median,0.021762371322797236,0.01919717263927709
17,dd_mean,0.02085521555921642,0.01656843817300288
18,cps,0.018482517274559587,0.01067231047989665
19,space_pd,0.0181289686825864,0.014486013072484387
20,pd_mean,0.01778791280920654,0.014965785928820505
21,consonant_pd,0.017470740285394873,0.02004381587618098
22,vowel_pd,0.017242598703289824,0.01741121926891428
23,dd_ls_mean,0.017188608331644196,0.01871595139902735
24,ft_mean,0.016938189509177765,0.010013067228170624
25,dd_iqr,0.01586010401207923,0.022906447473083402
26,dd_vc_mean,0.015405440151655321,0.01532249046203829
27,total_duration,0.01533055027228209,0.01718981258929592
28,space_ft,0.014652385821584755,0.015806418581256875
29,special_pd,0.013285460751411352,0.010296917851547639
30,long_pause_per_char,0.011725866766298824,0.0124463868404124
31,dd_cc_mean,0.011634006312634896,0.015969566597943703
32,pd_std,0.011223676136286194,0.017996842118005563
33,micro_pause_per_char,0.010594445216582305,0.011490541103681568
34,dd_cv_ratio,0.010506486818539608,0.01403950566273491
35,dd_ls_std,0.009462220120736638,0.013981435107993611
36,dd_cv_std,0.008514842889937783,0.013522452230623337
37,dd_cc_std,0.008449731833720437,0.010096086652122454
38,n_dd_valid,0.007931993489413211,0.01059215956624755
39,dd_std,0.007364296017369768,0.00843470186318075
40,uu_std,0.007270481772825047,0.008537588540882293
41,micro_pause_count,0.006900498987548109,0.006461625266079258
42,ft_std,0.0067049196221668,0.007736908902249035
43,burst_count_per_char,0.006573309633924081,0.00969646050099486
44,uu_max,0.006513464046586832,0.008856627333827057
45,dd_sl_std,0.006293269768157971,0.008847161007473247
46,typing_efficiency,0.006277322486467946,0.01005756492250455
47,n_uu_valid,0.006132944955499094,0.007915817299324559
48,pd_min,0.006065560791564794,0.009570585618688067
49,ft_skew,0.00603161068425251,0.0075146894731353275
50,dd_skew,0.00578800081786305,0.007171552081513969
51,mean_corr_time,0.005710781568579984,0.004919546353935118
52,dd_kurt,0.005392288726592372,0.008081907285627118
53,uu_skew,0.005385381607883782,0.006435697485001563
54,uu_kurt,0.005377122910727115,0.00682808185815699
55,backspace_per_char,0.005314223848077028,0.00623251195102792
56,n_ft_valid,0.005190455816357971,0.008318117785884514
57,ft_kurt,0.0051164943738176835,0.007605847715107061
58,pd_skew,0.005085425788623526,0.0064167538623707224
59,mean_burst_size,0.0050233329017441335,0.006295901549219535
60,pd_max,0.005008957301178922,0.006135386386565144
61,long_pause_count,0.004907370107306699,0.005854569506508703
62,error_rate,0.004809646840214898,0.005999557050040651
63,dd_vc_std,0.00463248176680207,0.004312287619075156
64,ft_max,0.004497680366682417,0.0040662184286848835
65,max_burst_size,0.004129929341288485,0.006999588013718516
66,dd_cc_count,0.004079783368946249,0.007381689647907987
67,pd_kurt,0.003939033914914647,0.005849793631107502
68,dd_max,0.003924606029113331,0.0052217761828385004
69,dd_trend_slope,0.003903283771461573,0.008053393019280871
70,backspace_count,0.0033800881834746346,0.004123753494898673
71,n_inserts,0.002889759720484787,0.004772111161841931
72,capital_pd,0.002712105599781814,0.002726264087949085
73,burst_count,0.0024208118539759864,0.0031575405835382255
74,dd_vc_count,0.002375818969180172,0.004153259979351269
75,ft_valid_ratio,0.001602267307469977,0.003526702624900423
76,uu_valid_ratio,0.0014006038065555104,0.0038748788683622567
77,dd_cv_count,0.0013103305682779208,0.0014698701334445743
78,dd_valid_ratio,0.0011624573925136808,0.002420452756375678
79,dd_ls_count,0.0009258364885666169,0.0016791992914877288
80,dd_sl_count,0.0005557140706800972,0.0008633457040054301
