user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
05TW8Ljp5AOArnLclD8e8LIHgwg2,keystroke_only,80,0.03,0.7636363636363637,0.24375,0.0,0.121875
05TW8Ljp5AOArnLclD8e8LIHgwg2,sensor_only,46,0.04,0.9272727272727272,0.06875,0.2,0.13437500000000002
05TW8Ljp5AOArnLclD8e8LIHgwg2,combined,154,0.04,0.896969696969697,0.1,0.2,0.15000000000000002
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,keystroke_only,80,0.06,0.896969696969697,0.1,0.2,0.15000000000000002
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,sensor_only,46,0.065,0.9090909090909091,0.0875,0.2,0.14375
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,combined,154,0.085,0.9515151515151515,0.04375,0.2,0.12187500000000001
30m2mK6UrdfP8ENgCSldqeHYwjq2,keystroke_only,80,0.05,0.9454545454545454,0.05625,0.0,0.028125
30m2mK6UrdfP8ENgCSldqeHYwjq2,sensor_only,46,0.05,0.9515151515151515,0.05,0.0,0.025
30m2mK6UrdfP8ENgCSldqeHYwjq2,combined,154,0.115,0.9939393939393939,0.00625,0.0,0.003125
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,keystroke_only,80,0.155,0.9757575757575757,0.01875,0.2,0.109375
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,sensor_only,46,0.03,0.9272727272727272,0.075,0.0,0.0375
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,combined,154,0.15,1.0,0.0,0.0,0.0
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,keystroke_only,80,0.055,0.8909090909090909,0.1125,0.0,0.05625
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,sensor_only,46,0.3,1.0,0.0,0.0,0.0
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,combined,154,0.215,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,keystroke_only,80,0.055,0.9515151515151515,0.05,0.0,0.025
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,sensor_only,46,0.115,1.0,0.0,0.0,0.0
