user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
05TW8Ljp5AOArnLclD8e8LIHgwg2,keystroke_only,80,0.03,0.7692307692307693,0.24,0.0,0.2
05TW8Ljp5AOArnLclD8e8LIHgwg2,sensor_only,46,0.05,0.9538461538461539,0.04,0.2,0.024
05TW8Ljp5AOArnLclD8e8LIHgwg2,combined,154,0.05,0.9230769230769231,0.072,0.2,0.048
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,keystroke_only,80,0.055,0.8384615384615385,0.16,0.2,0.20400000000000001
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,sensor_only,46,0.055,0.9076923076923077,0.088,0.2,0.044
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,combined,154,0.095,0.8923076923076924,0.104,0.2,0.2
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,keystroke_only,80,0.045,0.8769230769230769,0.128,0.0,0.012
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,sensor_only,46,0.13,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,combined,154,0.14,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,keystroke_only,80,0.115,0.9461538461538461,0.056,0.0,0.028
BnAXORhlmEgFSnmr5BPzEaj813f2,sensor_only,46,0.055,0.9153846153846154,0.088,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,combined,154,0.135,0.9846153846153847,0.016,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,keystroke_only,80,0.085,0.9769230769230769,0.024,0.0,0.012
BqbYZxLSPiNGAJGElBH6dq0Gf422,sensor_only,46,0.23,0.9923076923076923,0.0,0.2,0.04
BqbYZxLSPiNGAJGElBH6dq0Gf422,combined,154,0.20500000000000002,0.9923076923076923,0.0,0.2,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,keystroke_only,80,0.17500000000000002,0.9846153846153847,0.016,0.0,0.008
DJldbpv8XEYPwLseK8tAlA0EFfV2,sensor_only,46,0.165,1.0,0.0,0.0,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,combined,154,0.195,0.9923076923076923,0.008,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,keystroke_only,80,0.08,0.9230769230769231,0.08,0.0,0.004
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,sensor_only,46,0.23500000000000001,1.0,0.0,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,combined,154,0.215,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,keystroke_only,80,0.1,0.9692307692307692,0.032,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,sensor_only,46,0.15,0.9923076923076923,0.008,0.0,0.004
LaWWukYn6xeN1jsWRIBI8QB2PvV2,combined,154,0.22,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,keystroke_only,80,0.275,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,sensor_only,46,0.125,0.9846153846153847,0.016,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,combined,154,0.225,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,keystroke_only,80,0.095,0.9461538461538461,0.056,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,sensor_only,46,0.23500000000000001,0.9923076923076923,0.008,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,combined,154,0.11,0.9769230769230769,0.024,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,keystroke_only,80,0.075,0.9923076923076923,0.008,0.0,0.004
PzRGdxGusYScYl0zOpFXECA49Tq1,sensor_only,46,0.47000000000000003,1.0,0.0,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,combined,154,0.45,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,keystroke_only,80,0.075,0.9230769230769231,0.08,0.0,0.02
QcUKYLclszMKbeOKMPTEIZyiKKU2,sensor_only,46,0.105,0.9538461538461539,0.048,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,combined,154,0.105,0.9461538461538461,0.056,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,keystroke_only,80,0.08,0.9615384615384616,0.04,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,sensor_only,46,0.055,0.9769230769230769,0.024,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,combined,154,0.17,1.0,0.0,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,keystroke_only,80,0.17,1.0,0.0,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,sensor_only,46,0.03,0.8538461538461538,0.144,0.2,0.172
WLA5tSeimOdSy4qCfthdd7C5WeB2,combined,154,0.17500000000000002,0.9846153846153847,0.008,0.2,0.004
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,keystroke_only,80,0.15,0.9538461538461539,0.048,0.0,0.004
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,sensor_only,46,0.245,0.9846153846153847,0.008,0.2,0.02
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,combined,154,0.275,0.9846153846153847,0.008,0.2,0.016
ZPw87WT2yagXd9QO1D3a7uqutlJ3,keystroke_only,80,0.09,0.9384615384615385,0.056,0.2,0.036
ZPw87WT2yagXd9QO1D3a7uqutlJ3,sensor_only,46,0.075,0.9153846153846154,0.08,0.2,0.188
ZPw87WT2yagXd9QO1D3a7uqutlJ3,combined,154,0.13,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,keystroke_only,80,0.06,0.8769230769230769,0.128,0.0,0.16
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,sensor_only,46,0.07,0.9692307692307692,0.032,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,combined,154,0.07,0.9846153846153847,0.016,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,keystroke_only,80,0.045,0.8153846153846154,0.192,0.0,0.008
i6SCvQJiqYUDYS1leBqlxRY29jr2,sensor_only,46,0.05,0.9230769230769231,0.08,0.0,0.004
