dataset,feature_group,rank,feature,mean_importance,std_importance
personal,keystroke_only,1,dd_cv_count,0.0424438037738199,0.0571015890631701
personal,keystroke_only,2,dd_cc_count,0.0372810599900652,0.050742712909009
personal,keystroke_only,3,dd_median,0.0324175432818092,0.0246289686171581
personal,keystroke_only,4,dd_cv_median,0.0319308960568765,0.0220606741330483
personal,keystroke_only,5,dd_vc_median,0.031586086961464,0.0276502788040263
personal,keystroke_only,6,dd_ls_median,0.0309566697562273,0.030391809321655
personal,keystroke_only,7,dd_ls_count,0.0300202214907237,0.0362001039137464
personal,keystroke_only,8,ft_median,0.0293822862113116,0.017988611182872
personal,keystroke_only,9,dd_sl_count,0.0278922292492294,0.0333975081392958
personal,keystroke_only,10,dd_cv_mean,0.0264177281319066,0.0228049332021115
personal,keystroke_only,11,dd_sl_median,0.0236677420931251,0.0269172789209582
personal,keystroke_only,12,uu_median,0.0230478603007566,0.0142883544151659
personal,keystroke_only,13,n_inserts,0.0229646422648486,0.0249095851058407
personal,keystroke_only,14,total_duration,0.0224010550792709,0.0249462946486093
personal,keystroke_only,15,uu_mean,0.0222475370472237,0.0169445316754227
personal,keystroke_only,16,dd_cc_median,0.0215704217443045,0.0191380297763851
personal,keystroke_only,17,dd_min,0.0209200903934187,0.0184710447234896
personal,keystroke_only,18,ft_min,0.0202187948596907,0.0166177582627975
personal,keystroke_only,19,dd_sl_mean,0.019787969309689,0.0240064684373627
personal,keystroke_only,20,wpm,0.0192228694691256,0.015772709253332
personal,keystroke_only,21,dd_vc_count,0.0190198986162796,0.0258325865155605
personal,keystroke_only,22,dd_mean,0.0182551472918242,0.0161811522020964
personal,keystroke_only,23,consonant_pd,0.0180022221451344,0.0236815276484011
personal,keystroke_only,24,dd_iqr,0.0178887994767012,0.0244433739306034
personal,keystroke_only,25,pd_median,0.0174746842792576,0.0202752227462169
personal,keystroke_only,26,uu_min,0.0162563370599909,0.0146677451632348
personal,keystroke_only,27,ft_mean,0.0160871215231908,0.0130552943499542
personal,keystroke_only,28,vowel_pd,0.0157552928738993,0.0181564517195643
personal,keystroke_only,29,pd_mean,0.0156735896806533,0.0128191786801239
personal,keystroke_only,30,capital_pd,0.0152117714405275,0.0388520121577814
personal,keystroke_only,31,cps,0.0143894364750722,0.0112585394579018
personal,keystroke_only,32,n_uu_valid,0.0138440287242923,0.0171445224087043
personal,keystroke_only,33,n_dd_valid,0.0131690969270959,0.0169233261081191
