rank,feature,mean_importance,std_importance
1,dd_cv_count,0.04244380377381992,0.0571015890631701
2,dd_cc_count,0.037281059990065216,0.05074271290900908
3,dd_median,0.032417543281809284,0.024628968617158183
4,dd_cv_median,0.03193089605687656,0.02206067413304833
5,dd_vc_median,0.03158608696146406,0.027650278804026335
6,dd_ls_median,0.030956669756227344,0.030391809321655028
7,dd_ls_count,0.030020221490723753,0.03620010391374644
8,ft_median,0.029382286211311656,0.01798861118287202
9,dd_sl_count,0.02789222924922947,0.03339750813929587
10,dd_cv_mean,0.02641772813190667,0.022804933202111532
11,dd_sl_median,0.023667742093125135,0.02691727892095829
12,uu_median,0.023047860300756656,0.014288354415165997
13,n_inserts,0.02296464226484868,0.024909585105840747
14,total_duration,0.022401055079270912,0.024946294648609323
15,uu_mean,0.022247537047223716,0.016944531675422748
16,dd_cc_median,0.021570421744304534,0.0191380297763851
17,dd_min,0.020920090393418706,0.018471044723489656
18,ft_min,0.020218794859690758,0.016617758262797582
19,dd_sl_mean,0.019787969309689023,0.02400646843736276
20,wpm,0.01922286946912565,0.01577270925333208
21,dd_vc_count,0.01901989861627967,0.02583258651556058
22,dd_mean,0.01825514729182427,0.016181152202096417
23,consonant_pd,0.018002222145134444,0.023681527648401132
24,dd_iqr,0.017888799476701224,0.024443373930603456
25,pd_median,0.017474684279257625,0.020275222746216917
26,uu_min,0.016256337059990904,0.014667745163234838
27,ft_mean,0.016087121523190896,0.01305529434995427
28,vowel_pd,0.01575529287389934,0.01815645171956438
29,pd_mean,0.015673589680653348,0.01281917868012396
30,capital_pd,0.015211771440527558,0.038852012157781494
31,cps,0.014389436475072211,0.011258539457901845
32,n_uu_valid,0.01384402872429232,0.01714452240870435
33,n_dd_valid,0.013169096927095976,0.016923326108119176
34,dd_cc_mean,0.012022462376717068,0.020040508276787484
35,dd_ls_mean,0.011964413279179324,0.016841560061108214
36,space_pd,0.011774942194403414,0.013476736318585397
37,n_ft_valid,0.01153334832043095,0.014849604876143284
38,micro_pause_per_char,0.0107878196693982,0.014591103339422663
39,pd_std,0.010128702921847184,0.019584901420777144
40,space_ft,0.009799947367368441,0.014305222599163017
41,micro_pause_count,0.009042837387248877,0.013304044658879837
42,dd_ls_std,0.008651777658324481,0.02036916715396666
43,dd_vc_mean,0.008588018702279291,0.009658725781356216
44,dd_cv_ratio,0.00835236858345431,0.011333399043837209
45,long_pause_per_char,0.0076644179387998345,0.01114937973500224
46,pd_skew,0.006939892677705683,0.012956463765959682
47,special_pd,0.006886211048906489,0.009668943048704517
48,dd_std,0.006492398940615567,0.0076838664974381715
49,max_burst_size,0.005873325948753351,0.011901184635179127
50,error_rate,0.005680567537235948,0.010672458393210878
51,uu_std,0.005655252589959704,0.008757007750314108
52,ft_std,0.005535813462704956,0.008123181923233233
53,typing_efficiency,0.0054180434243203774,0.01093881182283993
54,dd_cc_std,0.005385175391268117,0.00923156388099047
55,pd_max,0.005203078362173457,0.011322747513115487
56,backspace_per_char,0.005138318974230764,0.008792868756067709
57,dd_sl_std,0.005074655902481111,0.006615724486984404
58,burst_count_per_char,0.00492741837464938,0.007956511294278868
59,pd_kurt,0.004656219468951528,0.009758789690136766
60,dd_cv_std,0.004633426956403609,0.0075731546482111075
61,mean_corr_time,0.004358691557793574,0.0067841698633786815
62,mean_burst_size,0.004229211357651377,0.006781359873194695
63,dd_trend_slope,0.003984101927710644,0.010620318504393149
64,uu_max,0.003840598069717164,0.005837996774254935
65,long_pause_count,0.0036730229961840022,0.006666231206796727
66,ft_skew,0.0033469390854665645,0.005486240220120483
67,ft_max,0.003184437113793286,0.003660250480515742
68,dd_vc_std,0.003110238675581013,0.004326157304829717
69,backspace_count,0.0022792647508609308,0.0032187605648467525
70,dd_kurt,0.002252858471434868,0.004247067922966639
71,uu_skew,0.0021549758806044695,0.0030002380481535876
72,ft_kurt,0.002117858268106454,0.0033754495281791926
73,dd_max,0.0020236725213391205,0.0028404579594746055
74,dd_skew,0.001841104763699049,0.0021606798843955334
75,uu_kurt,0.0017158358356614246,0.003169656197578587
76,pd_min,0.001626192410822821,0.0030969936684056365
77,burst_count,0.000986171072081639,0.0017990502831532178
78,uu_valid_ratio,0.0009436083895261761,0.0019329028205483606
79,dd_valid_ratio,0.0005747253981164501,0.0016002636090766459
80,ft_valid_ratio,0.0005407020152301209,0.0009730572665197449
