rank,feature,mean_importance,std_importance
1,gyro_fs_hz,0.041283282398595994,0.05060352969088346
2,gyro_axis_corr_yz,0.04114307884718085,0.059269571402610716
3,gyro_axis_corr_xy,0.03721796347657598,0.05230562857026148
4,acc_fs_hz,0.03575769129419504,0.03848581788101727
5,acc_n_samples,0.035370515567589834,0.04472568237608422
6,gyro_axis_corr_xz,0.03322148216036929,0.04481858240576122
7,acc_jerk_std,0.03265665016519066,0.03934483509828916
8,acc_mag_median,0.0319221966058978,0.03744253469810822
9,gyro_mag_median,0.031909198170654865,0.03408368829239596
10,acc_axis_corr_yz,0.031825061564726635,0.03852968983104436
11,acc_axis_corr_xy,0.03148510660427498,0.034516413745643224
12,acc_planarity,0.02875473405514854,0.03799371023907181
13,gyro_n_samples,0.028201791924719232,0.03423146367294531
14,gyro_jerk_std,0.027929890864037778,0.031787801697836224
15,gyro_duration_sec,0.026996065818983235,0.031240345404366546
16,gyro_mag_mad,0.026049255925096715,0.02383558339059435
17,acc_mag_iqr,0.02551980946681467,0.0217548888123991
18,gyro_rms,0.02492160763450341,0.020672233542756564
19,gyro_mag_mean,0.024737346759212984,0.02331140474573275
20,gyro_mag_iqr,0.02453257721589768,0.019955308112977937
21,gyro_mag_std,0.023983377553733032,0.025293948894311632
22,gyro_mag_p99,0.023661159941589124,0.02600997359551221
23,gyro_mag_p95,0.02312972415003607,0.024579578015448023
24,acc_axis_corr_xz,0.022891624502968035,0.03233529406172047
25,acc_duration_sec,0.02202620495002756,0.0245489482435564
26,acc_mag_mean,0.021879011418779837,0.017648908190586045
27,gyro_cv,0.021256557915394953,0.02472208806221629
28,acc_rms,0.019070564776013026,0.015962602665064576
29,gyro_dt_mean,0.018597456790697853,0.030177430054240572
30,acc_energy,0.017642885382361823,0.015015352153372321
31,acc_mag_mad,0.017494634937377174,0.016793304833088666
32,gyro_energy,0.016869220480449566,0.015455072385830163
33,gyro_planarity,0.01632698900532458,0.02327760489126903
34,acc_mag_std,0.014347100041206783,0.013750994944011214
35,acc_mag_p95,0.013414752101386167,0.010183092879741987
36,acc_dt_mean,0.01319351025416263,0.019249809978319744
37,acc_mag_p99,0.012668646443769693,0.012461102089625229
38,gyro_mag_spectral_entropy,0.01226149987169195,0.016935000049048098
39,acc_cv,0.012042626467903574,0.015309941269463443
40,gyro_mag_trend_slope,0.010263227039166845,0.02612474372542293
41,acc_mag_spectral_entropy,0.008311281117498726,0.011906915609023598
42,acc_mag_trend_slope,0.006469686469741122,0.015938121966168197
43,acc_dt_std,0.0031554921380959125,0.0041517510464803365
44,gyro_cov,0.0027598939276376705,0.004730501387148744
45,gyro_dt_std,0.0024372320380689487,0.0031214877808576373
46,acc_cov,0.0024103337652512,0.0028832088965995185
