dataset,poradie,črta,priemerná_dôležitosť,smerodajná_odchýlka
general,1,acc_jerk_peak_per_char_mean,0.0202848824550769,0.0288487842439359
general,2,gyro_fs_hz,0.0192987725594882,0.0284344582758284
general,3,acc_planarity,0.0189167108164648,0.0289731143677879
general,4,ft_median,0.0185838771135799,0.0229397366745568
general,5,gyro_to_acc_energy_ratio_per_char_mean,0.0179042329836311,0.0264589852376769
personal,1,gyro_fs_hz,0.018792754715287,0.0301568328370991
personal,2,dd_cc_count,0.0182144430118674,0.0333047947143377
personal,3,gyro_axis_corr_yz,0.0171498132888584,0.0315004976340245
personal,4,dd_vc_count,0.0171054897865866,0.0277494138961286
personal,5,ft_median,0.0167871830982426,0.0213813775710909
