user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
05TW8Ljp5AOArnLclD8e8LIHgwg2,keystroke_only,80,0.015,0.8769230769230769,0.12,0.2,0.196
05TW8Ljp5AOArnLclD8e8LIHgwg2,sensor_only,46,0.015,0.9076923076923077,0.088,0.2,0.172
05TW8Ljp5AOArnLclD8e8LIHgwg2,combined,154,0.02,0.9153846153846154,0.08,0.2,0.188
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,keystroke_only,80,0.01,0.7692307692307693,0.232,0.2,0.188
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,sensor_only,46,0.015,0.9,0.104,0.0,0.052
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,combined,154,0.01,0.8461538461538461,0.152,0.2,0.176
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,keystroke_only,80,0.01,0.8846153846153846,0.12,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,sensor_only,46,0.02,0.9692307692307692,0.032,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,combined,154,0.03,0.9846153846153847,0.016,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,keystroke_only,80,0.02,0.9461538461538461,0.056,0.0,0.016
BnAXORhlmEgFSnmr5BPzEaj813f2,sensor_only,46,0.025,0.8769230769230769,0.12,0.2,0.16
BnAXORhlmEgFSnmr5BPzEaj813f2,combined,154,0.095,0.9769230769230769,0.008,0.4,0.028
BqbYZxLSPiNGAJGElBH6dq0Gf422,keystroke_only,80,0.03,0.9538461538461539,0.048,0.0,0.012
BqbYZxLSPiNGAJGElBH6dq0Gf422,sensor_only,46,0.085,0.9923076923076923,0.0,0.2,0.16
BqbYZxLSPiNGAJGElBH6dq0Gf422,combined,154,0.075,0.9923076923076923,0.0,0.2,0.02
DJldbpv8XEYPwLseK8tAlA0EFfV2,keystroke_only,80,0.015,0.9076923076923077,0.096,0.0,0.004
DJldbpv8XEYPwLseK8tAlA0EFfV2,sensor_only,46,0.02,0.9538461538461539,0.048,0.0,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,combined,154,0.015,0.9307692307692308,0.072,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,keystroke_only,80,0.025,0.9461538461538461,0.056,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,sensor_only,46,0.05,0.9615384615384616,0.032,0.2,0.02
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,combined,154,0.05,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,keystroke_only,80,0.03,0.9538461538461539,0.04,0.2,0.044
LaWWukYn6xeN1jsWRIBI8QB2PvV2,sensor_only,46,0.04,0.9615384615384616,0.032,0.2,0.06
LaWWukYn6xeN1jsWRIBI8QB2PvV2,combined,154,0.025,0.9692307692307692,0.032,0.0,0.004
Omo5XrILUTX0J0Jih47KSik6Yi43,keystroke_only,80,0.67,0.9923076923076923,0.0,0.2,0.004
Omo5XrILUTX0J0Jih47KSik6Yi43,sensor_only,46,0.02,0.9153846153846154,0.088,0.0,0.024
Omo5XrILUTX0J0Jih47KSik6Yi43,combined,154,0.6,0.9923076923076923,0.0,0.2,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,keystroke_only,80,0.015,0.8692307692307693,0.136,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,sensor_only,46,0.015,0.9076923076923077,0.096,0.0,0.012
PoPWokLWSNV1fAVoEx4sJEERdqL2,combined,154,0.025,0.9230769230769231,0.08,0.0,0.016
PzRGdxGusYScYl0zOpFXECA49Tq1,keystroke_only,80,0.025,0.9769230769230769,0.024,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,sensor_only,46,0.065,1.0,0.0,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,combined,154,0.055,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,keystroke_only,80,0.01,0.8846153846153846,0.12,0.0,0.024
QcUKYLclszMKbeOKMPTEIZyiKKU2,sensor_only,46,0.015,0.8923076923076924,0.112,0.0,0.012
QcUKYLclszMKbeOKMPTEIZyiKKU2,combined,154,0.015,0.8769230769230769,0.128,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,keystroke_only,80,0.01,0.9153846153846154,0.088,0.0,0.032
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,sensor_only,46,0.02,0.9461538461538461,0.056,0.0,0.004
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,combined,154,0.015,0.9384615384615385,0.064,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,keystroke_only,80,0.03,0.9846153846153847,0.0,0.4,0.008
WLA5tSeimOdSy4qCfthdd7C5WeB2,sensor_only,46,0.02,0.9,0.104,0.0,0.052
WLA5tSeimOdSy4qCfthdd7C5WeB2,combined,154,0.065,0.9846153846153847,0.008,0.2,0.016
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,keystroke_only,80,0.04,0.9615384615384616,0.04,0.0,0.0
