user_id,text_type,threshold,accuracy,far,frr,eer
05TW8Ljp5AOArnLclD8e8LIHgwg2,shared_text,0.05,0.9230769230769231,0.072,0.2,0.14800000000000002
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,shared_text,0.07,0.8692307692307693,0.128,0.2,0.20400000000000001
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,shared_text,0.12,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,shared_text,0.115,0.9846153846153847,0.016,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,shared_text,0.215,0.9923076923076923,0.0,0.2,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,shared_text,0.2,0.9923076923076923,0.008,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,shared_text,0.20500000000000002,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,shared_text,0.20500000000000002,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,shared_text,0.225,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,shared_text,0.12,0.9769230769230769,0.024,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,shared_text,0.38,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,shared_text,0.095,0.9461538461538461,0.056,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,shared_text,0.12,0.9846153846153847,0.016,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,shared_text,0.185,0.9923076923076923,0.0,0.2,0.004
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,shared_text,0.28500000000000003,0.9846153846153847,0.008,0.2,0.02
ZPw87WT2yagXd9QO1D3a7uqutlJ3,shared_text,0.13,0.9923076923076923,0.008,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,shared_text,0.07,0.9846153846153847,0.016,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,shared_text,0.05,0.8923076923076924,0.112,0.0,0.004
pBcgsSbey6YdBbQGH0nEAMUjA9H2,shared_text,0.155,0.9846153846153847,0.016,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,shared_text,0.12,0.9846153846153847,0.008,0.2,0.004
ruaVJyjTBAXieStKhxpnd1GTACE2,shared_text,0.34500000000000003,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,shared_text,0.17,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,shared_text,0.185,0.9923076923076923,0.008,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,shared_text,0.305,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,shared_text,0.155,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,shared_text,0.095,0.9923076923076923,0.008,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,personal_text,0.095,0.9538461538461539,0.048,0.0,0.0
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,personal_text,0.105,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,personal_text,0.13,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,personal_text,0.26,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,personal_text,0.14,1.0,0.0,0.0,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,personal_text,0.19,0.9923076923076923,0.008,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,personal_text,0.225,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,personal_text,0.11,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,personal_text,0.13,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,personal_text,0.19,1.0,0.0,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,personal_text,0.035,0.9384615384615385,0.064,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,personal_text,0.17500000000000002,1.0,0.0,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,personal_text,0.17500000000000002,0.9923076923076923,0.0,0.2,0.016
WLA5tSeimOdSy4qCfthdd7C5WeB2,personal_text,0.145,1.0,0.0,0.0,0.0
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,personal_text,0.135,1.0,0.0,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,personal_text,0.115,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,personal_text,0.255,1.0,0.0,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,personal_text,0.15,1.0,0.0,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,personal_text,0.12,0.9923076923076923,0.008,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,personal_text,0.23,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,personal_text,0.195,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,personal_text,0.11,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,personal_text,0.105,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,personal_text,0.185,0.9923076923076923,0.0,0.2,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,personal_text,0.23500000000000001,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,personal_text,0.1,0.9846153846153847,0.016,0.0,0.0
