user_id,text_type,threshold,accuracy,far,frr,eer
05TW8Ljp5AOArnLclD8e8LIHgwg2,shared_text,0.015,0.9,0.096,0.2,0.188
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,shared_text,0.01,0.8307692307692308,0.168,0.2,0.184
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,shared_text,0.025,0.9846153846153847,0.016,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,shared_text,0.07,0.9692307692307692,0.016,0.4,0.032
BqbYZxLSPiNGAJGElBH6dq0Gf422,shared_text,0.1,0.9923076923076923,0.0,0.2,0.016
DJldbpv8XEYPwLseK8tAlA0EFfV2,shared_text,0.015,0.9230769230769231,0.08,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,shared_text,0.06,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,shared_text,0.025,0.9692307692307692,0.032,0.0,0.004
Omo5XrILUTX0J0Jih47KSik6Yi43,shared_text,0.54,0.9923076923076923,0.0,0.2,0.004
PoPWokLWSNV1fAVoEx4sJEERdqL2,shared_text,0.035,0.9615384615384616,0.04,0.0,0.02
PzRGdxGusYScYl0zOpFXECA49Tq1,shared_text,0.055,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,shared_text,0.015,0.8615384615384616,0.144,0.0,0.008
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,shared_text,0.015,0.9384615384615385,0.064,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,shared_text,0.13,0.9846153846153847,0.008,0.2,0.012
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,shared_text,0.04,0.9769230769230769,0.024,0.0,0.004
ZPw87WT2yagXd9QO1D3a7uqutlJ3,shared_text,0.055,0.9923076923076923,0.008,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,shared_text,0.01,0.9846153846153847,0.016,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,shared_text,0.025,0.9692307692307692,0.032,0.0,0.004
pBcgsSbey6YdBbQGH0nEAMUjA9H2,shared_text,0.17,1.0,0.0,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,shared_text,0.045,0.9692307692307692,0.024,0.2,0.14
ruaVJyjTBAXieStKhxpnd1GTACE2,shared_text,0.02,0.9923076923076923,0.008,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,shared_text,0.02,0.9307692307692308,0.072,0.0,0.004
wL7w4dmBmxSYXUEO9tYBUp6XaA22,shared_text,0.155,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,shared_text,0.09,0.9923076923076923,0.008,0.0,0.004
zisvLwXR2sXkiDyF9hQBgzCT5K03,shared_text,0.14,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,shared_text,0.015,0.9461538461538461,0.056,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,personal_text,0.02,0.9538461538461539,0.048,0.0,0.004
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,personal_text,0.2,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,personal_text,0.17,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,personal_text,0.07,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,personal_text,0.035,0.9846153846153847,0.016,0.0,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,personal_text,0.02,0.9846153846153847,0.016,0.0,0.004
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,personal_text,0.015,0.9538461538461539,0.048,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,personal_text,0.035,0.9538461538461539,0.048,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,personal_text,0.035,0.9538461538461539,0.048,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,personal_text,0.105,0.9923076923076923,0.0,0.2,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,personal_text,0.02,0.9769230769230769,0.024,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,personal_text,0.615,1.0,0.0,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,personal_text,0.095,0.9846153846153847,0.008,0.2,0.024
WLA5tSeimOdSy4qCfthdd7C5WeB2,personal_text,0.105,1.0,0.0,0.0,0.0
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,personal_text,0.055,1.0,0.0,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,personal_text,0.06,0.9769230769230769,0.024,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,personal_text,0.03,0.9846153846153847,0.016,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,personal_text,0.015,0.9230769230769231,0.08,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,personal_text,0.05,0.9769230769230769,0.024,0.0,0.004
qHMPVSZeEOVJeANy4PmaCi0s1LX2,personal_text,0.045,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,personal_text,0.02,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,personal_text,0.015,0.9615384615384616,0.04,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,personal_text,0.02,0.9923076923076923,0.008,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,personal_text,0.055,0.9846153846153847,0.0,0.4,0.16
zisvLwXR2sXkiDyF9hQBgzCT5K03,personal_text,0.72,0.9846153846153847,0.008,0.2,0.004
zwWo0D9MehY88RXRA0BYoGdJKCz2,personal_text,0.02,0.9230769230769231,0.08,0.0,0.0
