user_id,text_length,threshold,accuracy,far,frr,eer
05TW8Ljp5AOArnLclD8e8LIHgwg2,10,0.085,0.99375,0.0,0.2,0.1
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,10,0.09,0.96875,0.03225806451612903,0.0,0.016129032258064516
30m2mK6UrdfP8ENgCSldqeHYwjq2,10,0.13,0.96875,0.025806451612903226,0.2,0.11290322580645162
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,10,0.07,0.96875,0.03225806451612903,0.0,0.016129032258064516
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,10,0.255,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,10,0.1,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
A2SsgxEqJLY9Avf3vCgly0OIQux1,10,0.065,0.9625,0.03870967741935484,0.0,0.01935483870967742
BnAXORhlmEgFSnmr5BPzEaj813f2,10,0.11,0.96875,0.01935483870967742,0.4,0.20967741935483872
BqbYZxLSPiNGAJGElBH6dq0Gf422,10,0.045,0.875,0.12903225806451613,0.0,0.06451612903225806
DJldbpv8XEYPwLseK8tAlA0EFfV2,10,0.135,1.0,0.0,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,10,0.275,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,10,0.34500000000000003,0.99375,0.0,0.2,0.1
Omo5XrILUTX0J0Jih47KSik6Yi43,10,0.145,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,10,0.12,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
PzRGdxGusYScYl0zOpFXECA49Tq1,10,0.035,0.95625,0.04516129032258064,0.0,0.02258064516129032
QcUKYLclszMKbeOKMPTEIZyiKKU2,10,0.055,0.9125,0.09032258064516129,0.0,0.04516129032258064
RKcUBPWd7Lgr4wrIof2rJxDyitr1,10,0.225,0.99375,0.0,0.2,0.1
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,10,0.13,0.975,0.01935483870967742,0.2,0.10967741935483871
WLA5tSeimOdSy4qCfthdd7C5WeB2,10,0.08,0.9625,0.03870967741935484,0.0,0.01935483870967742
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,10,0.165,1.0,0.0,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,10,0.095,0.96875,0.03225806451612903,0.0,0.016129032258064516
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,10,0.105,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
i6SCvQJiqYUDYS1leBqlxRY29jr2,10,0.17,1.0,0.0,0.0,0.0
my57RUXuMdcCABGumWAajjhxjgi2,10,0.185,0.99375,0.0,0.2,0.1
pBcgsSbey6YdBbQGH0nEAMUjA9H2,10,0.16,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
qHMPVSZeEOVJeANy4PmaCi0s1LX2,10,0.12,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,10,0.27,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
t10BGl5P7lfLJnosyzeNchO2Cgw1,10,0.055,0.94375,0.05806451612903226,0.0,0.02903225806451613
wL7w4dmBmxSYXUEO9tYBUp6XaA22,10,0.16,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
zADTuV7nEORpOPqPqjLYGgZyVUD3,10,0.15,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
zisvLwXR2sXkiDyF9hQBgzCT5K03,10,0.275,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,10,0.11,0.9875,0.012903225806451613,0.0,0.0064516129032258064
05TW8Ljp5AOArnLclD8e8LIHgwg2,20,0.04,0.8875,0.11612903225806452,0.0,0.05806451612903226
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,20,0.07,0.93125,0.07096774193548387,0.0,0.035483870967741936
30m2mK6UrdfP8ENgCSldqeHYwjq2,20,0.12,0.9875,0.012903225806451613,0.0,0.0064516129032258064
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,20,0.22,0.9875,0.012903225806451613,0.0,0.0064516129032258064
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,20,0.17500000000000002,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,20,0.125,1.0,0.0,0.0,0.0
A2SsgxEqJLY9Avf3vCgly0OIQux1,20,0.1,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,20,0.105,0.98125,0.01935483870967742,0.0,0.00967741935483871
BqbYZxLSPiNGAJGElBH6dq0Gf422,20,0.105,0.9625,0.03870967741935484,0.0,0.01935483870967742
DJldbpv8XEYPwLseK8tAlA0EFfV2,20,0.15,1.0,0.0,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,20,0.28500000000000003,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,20,0.46,0.99375,0.0,0.2,0.1
Omo5XrILUTX0J0Jih47KSik6Yi43,20,0.15,0.9875,0.012903225806451613,0.0,0.0064516129032258064
PoPWokLWSNV1fAVoEx4sJEERdqL2,20,0.11,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
PzRGdxGusYScYl0zOpFXECA49Tq1,20,0.035,0.96875,0.03225806451612903,0.0,0.016129032258064516
QcUKYLclszMKbeOKMPTEIZyiKKU2,20,0.07,0.925,0.07741935483870968,0.0,0.03870967741935484
RKcUBPWd7Lgr4wrIof2rJxDyitr1,20,0.11,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,20,0.04,0.925,0.07741935483870968,0.0,0.03870967741935484
WLA5tSeimOdSy4qCfthdd7C5WeB2,20,0.085,0.95625,0.04516129032258064,0.0,0.02258064516129032
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,20,0.065,0.95625,0.04516129032258064,0.0,0.02258064516129032
ZPw87WT2yagXd9QO1D3a7uqutlJ3,20,0.085,0.9875,0.012903225806451613,0.0,0.0064516129032258064
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,20,0.17,1.0,0.0,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,20,0.095,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
my57RUXuMdcCABGumWAajjhxjgi2,20,0.165,0.99375,0.0,0.2,0.1
pBcgsSbey6YdBbQGH0nEAMUjA9H2,20,0.105,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
