user_id,text_length,threshold,accuracy,far,frr,eer
05TW8Ljp5AOArnLclD8e8LIHgwg2,10,0.07,0.9230769230769231,0.08,0.0,0.008
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,10,0.075,0.9153846153846154,0.088,0.0,0.004
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,10,0.07,0.9230769230769231,0.072,0.2,0.21200000000000002
BnAXORhlmEgFSnmr5BPzEaj813f2,10,0.095,0.9615384615384616,0.04,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,10,0.17500000000000002,0.9923076923076923,0.0,0.2,0.004
DJldbpv8XEYPwLseK8tAlA0EFfV2,10,0.08,0.9461538461538461,0.056,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,10,0.145,0.9846153846153847,0.016,0.0,0.004
LaWWukYn6xeN1jsWRIBI8QB2PvV2,10,0.045,0.9461538461538461,0.056,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,10,0.13,0.9846153846153847,0.016,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,10,0.085,0.9615384615384616,0.04,0.0,0.004
PzRGdxGusYScYl0zOpFXECA49Tq1,10,0.17,0.9769230769230769,0.024,0.0,0.012
QcUKYLclszMKbeOKMPTEIZyiKKU2,10,0.075,0.9076923076923077,0.096,0.0,0.008
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,10,0.165,0.9846153846153847,0.008,0.2,0.004
WLA5tSeimOdSy4qCfthdd7C5WeB2,10,0.115,0.9615384615384616,0.032,0.2,0.016
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,10,0.095,0.9307692307692308,0.072,0.0,0.016
ZPw87WT2yagXd9QO1D3a7uqutlJ3,10,0.065,0.9076923076923077,0.096,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,10,0.055,0.9384615384615385,0.064,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,10,0.065,0.8615384615384616,0.128,0.4,0.21600000000000003
pBcgsSbey6YdBbQGH0nEAMUjA9H2,10,0.17,0.9769230769230769,0.016,0.2,0.02
qHMPVSZeEOVJeANy4PmaCi0s1LX2,10,0.065,0.9,0.104,0.0,0.008
ruaVJyjTBAXieStKhxpnd1GTACE2,10,0.335,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,10,0.11,0.9461538461538461,0.056,0.0,0.004
wL7w4dmBmxSYXUEO9tYBUp6XaA22,10,0.105,0.9692307692307692,0.024,0.2,0.024
zADTuV7nEORpOPqPqjLYGgZyVUD3,10,0.07,0.9230769230769231,0.08,0.0,0.016
zisvLwXR2sXkiDyF9hQBgzCT5K03,10,0.12,0.9769230769230769,0.024,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,10,0.055,0.9076923076923077,0.096,0.0,0.004
05TW8Ljp5AOArnLclD8e8LIHgwg2,20,0.06,0.9153846153846154,0.088,0.0,0.032
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,20,0.085,0.9230769230769231,0.08,0.0,0.032
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,20,0.095,0.9846153846153847,0.016,0.0,0.008
BnAXORhlmEgFSnmr5BPzEaj813f2,20,0.12,0.9692307692307692,0.024,0.2,0.02
BqbYZxLSPiNGAJGElBH6dq0Gf422,20,0.125,0.9846153846153847,0.016,0.0,0.008
DJldbpv8XEYPwLseK8tAlA0EFfV2,20,0.13,0.9769230769230769,0.024,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,20,0.155,0.9923076923076923,0.008,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,20,0.065,0.9692307692307692,0.032,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,20,0.22,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,20,0.12,0.9615384615384616,0.032,0.2,0.02
PzRGdxGusYScYl0zOpFXECA49Tq1,20,0.3,0.9769230769230769,0.016,0.2,0.012
QcUKYLclszMKbeOKMPTEIZyiKKU2,20,0.035,0.9153846153846154,0.088,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,20,0.09,0.9692307692307692,0.032,0.0,0.008
WLA5tSeimOdSy4qCfthdd7C5WeB2,20,0.155,0.9692307692307692,0.024,0.2,0.02
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,20,0.07,0.9461538461538461,0.056,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,20,0.075,0.9230769230769231,0.08,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,20,0.045,0.9384615384615385,0.064,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,20,0.055,0.9,0.104,0.0,0.04
pBcgsSbey6YdBbQGH0nEAMUjA9H2,20,0.22,0.9846153846153847,0.016,0.0,0.008
qHMPVSZeEOVJeANy4PmaCi0s1LX2,20,0.08,0.9615384615384616,0.032,0.2,0.028
ruaVJyjTBAXieStKhxpnd1GTACE2,20,0.53,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,20,0.065,0.8692307692307693,0.136,0.0,0.004
wL7w4dmBmxSYXUEO9tYBUp6XaA22,20,0.17,0.9538461538461539,0.032,0.4,0.024
zADTuV7nEORpOPqPqjLYGgZyVUD3,20,0.25,0.9769230769230769,0.016,0.2,0.008
zisvLwXR2sXkiDyF9hQBgzCT5K03,20,0.155,0.9923076923076923,0.008,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,20,0.055,0.9538461538461539,0.048,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,50,0.04,0.9307692307692308,0.072,0.0,0.028
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,50,0.135,0.9384615384615385,0.04,0.6,0.196
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,50,0.125,0.9846153846153847,0.008,0.2,0.036
BnAXORhlmEgFSnmr5BPzEaj813f2,50,0.195,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,50,0.105,0.9846153846153847,0.008,0.2,0.004
DJldbpv8XEYPwLseK8tAlA0EFfV2,50,0.17500000000000002,0.9923076923076923,0.008,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,50,0.19,0.9923076923076923,0.008,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,50,0.12,0.9923076923076923,0.008,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,50,0.255,0.9923076923076923,0.0,0.2,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,50,0.06,0.9461538461538461,0.056,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,50,0.185,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,50,0.035,0.9,0.104,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,50,0.12,0.9769230769230769,0.024,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,50,0.215,0.9846153846153847,0.016,0.0,0.004
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,50,0.065,0.9230769230769231,0.08,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,50,0.115,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,50,0.075,1.0,0.0,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,50,0.055,0.9230769230769231,0.08,0.0,0.024
pBcgsSbey6YdBbQGH0nEAMUjA9H2,50,0.295,0.9769230769230769,0.008,0.4,0.012
qHMPVSZeEOVJeANy4PmaCi0s1LX2,50,0.145,0.9923076923076923,0.0,0.2,0.004
ruaVJyjTBAXieStKhxpnd1GTACE2,50,0.505,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,50,0.08,0.9538461538461539,0.048,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,50,0.15,0.9846153846153847,0.016,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,50,0.20500000000000002,0.9923076923076923,0.008,0.0,0.004
zisvLwXR2sXkiDyF9hQBgzCT5K03,50,0.195,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,50,0.06,0.9769230769230769,0.024,0.0,0.004
05TW8Ljp5AOArnLclD8e8LIHgwg2,75,0.045,0.9230769230769231,0.072,0.2,0.176
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,75,0.085,0.9461538461538461,0.048,0.2,0.20800000000000002
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,75,0.16,0.9923076923076923,0.0,0.2,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,75,0.09,0.9846153846153847,0.016,0.0,0.004
BqbYZxLSPiNGAJGElBH6dq0Gf422,75,0.2,0.9923076923076923,0.0,0.2,0.004
DJldbpv8XEYPwLseK8tAlA0EFfV2,75,0.17,0.9846153846153847,0.016,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,75,0.195,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,75,0.15,0.9923076923076923,0.008,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,75,0.17500000000000002,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,75,0.095,0.9615384615384616,0.04,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,75,0.39,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,75,0.11,0.9692307692307692,0.032,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,75,0.16,0.9923076923076923,0.008,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,75,0.155,0.9846153846153847,0.008,0.2,0.004
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,75,0.16,0.9615384615384616,0.032,0.2,0.016
ZPw87WT2yagXd9QO1D3a7uqutlJ3,75,0.15,1.0,0.0,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,75,0.05,0.9846153846153847,0.016,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,75,0.04,0.8923076923076924,0.112,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,75,0.14,0.9769230769230769,0.024,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,75,0.19,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,75,0.45,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,75,0.125,0.9692307692307692,0.024,0.2,0.012
wL7w4dmBmxSYXUEO9tYBUp6XaA22,75,0.145,0.9846153846153847,0.016,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,75,0.28,0.9923076923076923,0.008,0.0,0.004
zisvLwXR2sXkiDyF9hQBgzCT5K03,75,0.145,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,75,0.075,0.9769230769230769,0.024,0.0,0.0
05TW8Ljp5AOArnLclD8e8LIHgwg2,full,0.05,0.9230769230769231,0.072,0.2,0.14800000000000002
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,full,0.07,0.8692307692307693,0.128,0.2,0.20400000000000001
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,full,0.12,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,full,0.115,0.9846153846153847,0.016,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,full,0.215,0.9923076923076923,0.0,0.2,0.0
DJldbpv8XEYPwLseK8tAlA0EFfV2,full,0.2,0.9923076923076923,0.008,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,full,0.20500000000000002,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,full,0.20500000000000002,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,full,0.225,1.0,0.0,0.0,0.0
PoPWokLWSNV1fAVoEx4sJEERdqL2,full,0.12,0.9769230769230769,0.024,0.0,0.0
PzRGdxGusYScYl0zOpFXECA49Tq1,full,0.38,1.0,0.0,0.0,0.0
QcUKYLclszMKbeOKMPTEIZyiKKU2,full,0.095,0.9461538461538461,0.056,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,full,0.12,0.9846153846153847,0.016,0.0,0.0
WLA5tSeimOdSy4qCfthdd7C5WeB2,full,0.185,0.9923076923076923,0.0,0.2,0.004
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,full,0.28500000000000003,0.9846153846153847,0.008,0.2,0.02
ZPw87WT2yagXd9QO1D3a7uqutlJ3,full,0.13,0.9923076923076923,0.008,0.0,0.0
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,full,0.07,0.9846153846153847,0.016,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,full,0.05,0.8923076923076924,0.112,0.0,0.004
pBcgsSbey6YdBbQGH0nEAMUjA9H2,full,0.155,0.9846153846153847,0.016,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,full,0.12,0.9846153846153847,0.008,0.2,0.004
ruaVJyjTBAXieStKhxpnd1GTACE2,full,0.34500000000000003,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,full,0.17,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,full,0.185,0.9923076923076923,0.008,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,full,0.305,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,full,0.155,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,full,0.095,0.9923076923076923,0.008,0.0,0.0
