rank,feature,mean_importance,std_importance
1,dd_median,0.020434540730651696,0.019487955370244368
2,ft_median,0.020273270507335128,0.023713125944503196
3,uu_median,0.01909410153907761,0.02222484979196945
4,dd_mean,0.01527195008395199,0.02128790844540817
5,dd_vc_median,0.013554711822441992,0.016761418302938588
6,dd_cv_median,0.01218377595078,0.01253844181940723
7,ft_mean,0.011623841590141636,0.01414219633330712
8,uu_min,0.011078480014969912,0.010383844663879494
9,dd_sl_median,0.010936031197741862,0.019857713243080156
10,dd_ls_median,0.010803474501870068,0.011866277565023436
11,ft_min,0.010523628043781383,0.012011643972066539
12,dd_cc_median,0.010068550610278202,0.014865085353025177
13,dd_cv_mean,0.009326318203092914,0.01229972375476278
14,wpm,0.008754499770180153,0.012490687554527652
15,dd_vc_mean,0.008357971061530332,0.010566077895911208
16,pd_mean,0.008131910726587912,0.010759494994359261
17,uu_mean,0.007962110601615887,0.007665263204488395
18,consonant_pd,0.007807834248816191,0.01397943875143903
19,dd_min,0.007226320186276368,0.007777158042667521
20,dd_iqr,0.006879165973827382,0.016203063486510478
21,cps,0.006749808179219548,0.007983175898521126
22,pd_median,0.0066070356698236885,0.008791386298346544
23,dd_sl_mean,0.005870255009722239,0.01158010461450509
24,space_ft,0.0058512884842617675,0.010831163630060914
25,uu_std,0.005647428357192434,0.01460085068848777
26,vowel_pd,0.005635473519157401,0.010406122886473685
27,dd_ls_mean,0.0046790014553967935,0.010134869855419278
28,total_duration,0.00418798231688489,0.0068619750662307554
29,space_pd,0.004120502003810036,0.0051549357478026985
30,micro_pause_per_char,0.004035302552710573,0.007834239334841618
31,dd_std,0.0038111306202412315,0.008404531183432713
32,special_pd,0.00375775783143261,0.005546153663315918
33,dd_cc_mean,0.0036368306695930192,0.00879780507051871
34,dd_cv_ratio,0.003567271297900513,0.006961607403952463
35,ft_std,0.0034411125376282432,0.0067708978841729515
36,pd_std,0.003068968572579408,0.007354482823433573
37,ft_max,0.0029855260578653406,0.007327382076822644
38,burst_count_per_char,0.00280115498440084,0.006520924420140313
39,n_dd_valid,0.0027190639723244205,0.007046601063524885
40,long_pause_per_char,0.0025292464529235083,0.005131132297890548
41,n_uu_valid,0.0022862179462978713,0.006413435291967756
42,micro_pause_count,0.0022723861046108117,0.004898288576617148
43,error_rate,0.0022491707469157827,0.007006285239651372
44,typing_efficiency,0.002128657592985493,0.005508501743706931
45,dd_max,0.0020301471531370945,0.005530431563228154
46,dd_ls_std,0.0018775765977499886,0.004941459467576062
47,pd_max,0.001834731907834685,0.0050898551135309285
48,long_pause_count,0.0018009552365211114,0.0032157119575995166
49,dd_cc_std,0.0015906886509016685,0.0030391062387143185
50,backspace_per_char,0.0015852451118090521,0.004300753828101068
51,n_ft_valid,0.0015623922655399406,0.003995715092948359
52,pd_min,0.0014541753818296235,0.003773074679551277
53,uu_max,0.0014164599901070145,0.003383397516777738
54,mean_burst_size,0.001316372916916191,0.0026332665896713708
55,burst_count,0.0012992753603302972,0.003626780944750753
56,dd_cv_std,0.0012580187105049412,0.002870586002171422
57,dd_skew,0.0011852920955922985,0.0035035285460329716
58,n_inserts,0.0011499679960107593,0.0027603874510021367
59,dd_vc_std,0.0011257904796512085,0.0024669251628886696
60,dd_vc_count,0.0010952037434062583,0.0035211858904550686
61,pd_skew,0.0010577531593944226,0.0025403694582034936
62,uu_kurt,0.0010132189428048903,0.0017091865546330245
63,mean_corr_time,0.0009476469626723831,0.001510392460776894
64,ft_skew,0.0009233270581746241,0.0022568669191009036
65,dd_kurt,0.0009043712231286306,0.0023584165424410134
66,backspace_count,0.0007930087525953006,0.0017733624319824174
67,uu_skew,0.0007702898210242472,0.00170551521502352
68,dd_cc_count,0.0007636791912648663,0.0022582160915856526
69,max_burst_size,0.0007123710950804862,0.0013194660741139479
70,dd_trend_slope,0.0006318702463235556,0.0014827348943696323
71,pd_kurt,0.0005422669321804319,0.0009164678293070331
72,ft_kurt,0.0005190568445750668,0.0008636010161835171
73,dd_cv_count,0.00048538248903839574,0.0015551484577987055
74,dd_sl_std,0.00047766842636964477,0.0010768857794795676
75,capital_pd,0.0003482616360443705,0.0007280018836811124
76,uu_valid_ratio,0.00033672973654967517,0.0009383145640000358
77,dd_ls_count,0.00029174362657241934,0.0009728933776885545
78,dd_valid_ratio,0.00028813276205671897,0.0007555082850779404
79,dd_sl_count,0.00021788691965664235,0.0006582960900282472
80,ft_valid_ratio,0.0001816694490519037,0.0005766126677682536
