dataset,rank,feature,mean_importance,std_importance
general,1,gyro_to_acc_energy_ratio_per_char_mean,0.021089951825633214,0.02976603427296144
general,2,dd_median,0.020434540730651696,0.019487955370244368
general,3,ft_median,0.020273270507335128,0.023713125944503196
general,4,gyro_jerk_peak_per_char_mean,0.01914220161264673,0.024708175562919394
general,5,uu_median,0.01909410153907761,0.02222484979196945
personal,1,dd_cc_count,0.020460381838896327,0.03343633896845989
personal,2,uu_median,0.019203396461067557,0.021700084463414208
personal,3,ft_median,0.019095035169413042,0.021454864520055055
personal,4,dd_vc_count,0.0182329750629353,0.02834543273300288
personal,5,dd_median,0.017607769921439913,0.01768290055573656
