kernel,C,gamma,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
linear,1,,,False,0.2,0.9936507936507937,0.003333333333333333,0.06666666666666667,0.00925547919816716,0.006666666666666667,0.13333333333333333
linear,1,,balanced,False,0.2,0.9936507936507937,0.003333333333333333,0.06666666666666667,0.00925547919816716,0.006666666666666667,0.13333333333333333
linear,10,,,False,0.2,0.9936507936507937,0.003333333333333333,0.06666666666666667,0.00925547919816716,0.006666666666666667,0.13333333333333333
linear,10,,balanced,False,0.2,0.9936507936507937,0.003333333333333333,0.06666666666666667,0.00925547919816716,0.006666666666666667,0.13333333333333333
linear,100,,,False,0.2,0.9936507936507937,0.003333333333333333,0.06666666666666667,0.00925547919816716,0.006666666666666667,0.13333333333333333
linear,100,,balanced,False,0.2,0.9936507936507937,0.003333333333333333,0.06666666666666667,0.00925547919816716,0.006666666666666667,0.13333333333333333
linear,1,,,False,0.15,0.9936507936507937,0.0041666666666666675,0.05,0.01052896758842985,0.008936504412303007,0.11902380714238082
linear,1,,balanced,False,0.15,0.9936507936507937,0.0041666666666666675,0.05,0.01052896758842985,0.008936504412303007,0.11902380714238082
linear,10,,,False,0.15,0.9936507936507937,0.0041666666666666675,0.05,0.01052896758842985,0.008936504412303007,0.11902380714238082
linear,10,,balanced,False,0.15,0.9936507936507937,0.0041666666666666675,0.05,0.01052896758842985,0.008936504412303007,0.11902380714238082
linear,100,,,False,0.15,0.9936507936507937,0.0041666666666666675,0.05,0.01052896758842985,0.008936504412303007,0.11902380714238082
linear,100,,balanced,False,0.15,0.9936507936507937,0.0041666666666666675,0.05,0.01052896758842985,0.008936504412303007,0.11902380714238082
linear,1,,,False,0.5,0.9928571428571429,0.0025,0.09999999999999999,0.010618323936714021,0.00595119035711904,0.18559214542766742
linear,1,,balanced,False,0.5,0.9928571428571429,0.0025,0.09999999999999999,0.010618323936714021,0.00595119035711904,0.18559214542766742
linear,10,,,False,0.5,0.9928571428571429,0.0025,0.09999999999999999,0.010618323936714021,0.00595119035711904,0.18559214542766742
linear,10,,balanced,False,0.5,0.9928571428571429,0.0025,0.09999999999999999,0.010618323936714021,0.00595119035711904,0.18559214542766742
linear,100,,,False,0.5,0.9928571428571429,0.0025,0.09999999999999999,0.010618323936714021,0.00595119035711904,0.18559214542766742
linear,100,,balanced,False,0.5,0.9928571428571429,0.0025,0.09999999999999999,0.010618323936714021,0.00595119035711904,0.18559214542766742
rbf,100,0.001,,False,0.2,0.9928571428571429,0.004166666666666667,0.06666666666666667,0.010618323936714021,0.008936504412303007,0.13333333333333333
rbf,100,0.001,balanced,False,0.2,0.9928571428571429,0.004166666666666667,0.06666666666666667,0.010618323936714021,0.008936504412303007,0.13333333333333333
linear,1,,,False,0.3,0.9920634920634921,0.003333333333333333,0.09999999999999999,0.010647942749999011,0.006666666666666667,0.18559214542766742
linear,1,,balanced,False,0.3,0.9920634920634921,0.003333333333333333,0.09999999999999999,0.010647942749999011,0.006666666666666667,0.18559214542766742
linear,10,,,False,0.3,0.9920634920634921,0.003333333333333333,0.09999999999999999,0.010647942749999011,0.006666666666666667,0.18559214542766742
linear,10,,balanced,False,0.3,0.9920634920634921,0.003333333333333333,0.09999999999999999,0.010647942749999011,0.006666666666666667,0.18559214542766742
linear,100,,,False,0.3,0.9920634920634921,0.003333333333333333,0.09999999999999999,0.010647942749999011,0.006666666666666667,0.18559214542766742
linear,100,,balanced,False,0.3,0.9920634920634921,0.003333333333333333,0.09999999999999999,0.010647942749999011,0.006666666666666667,0.18559214542766742
rbf,100,0.001,,False,0.3,0.9920634920634921,0.003333333333333333,0.09999999999999999,0.010647942749999011,0.008498365855987974,0.18559214542766742
rbf,100,0.001,balanced,False,0.3,0.9920634920634921,0.003333333333333333,0.09999999999999999,0.010647942749999011,0.008498365855987974,0.18559214542766742
rbf,1,scale,,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,0.01,,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,0.01,,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,0.001,,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,scale,balanced,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,scale,balanced,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,scale,balanced,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,0.01,balanced,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,0.01,balanced,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,0.01,balanced,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,0.001,balanced,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,1,0.001,balanced,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,scale,,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,scale,,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,scale,,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,0.01,,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,0.01,,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,0.01,,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,scale,balanced,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,scale,balanced,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,scale,balanced,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,0.01,balanced,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,0.01,balanced,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,10,0.01,balanced,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,scale,,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,scale,,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,scale,,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,0.01,,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,0.01,,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,0.01,,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,scale,balanced,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,scale,balanced,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,scale,balanced,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,0.01,balanced,False,0.2,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,0.01,balanced,False,0.3,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,0.01,balanced,False,0.5,0.9912698412698413,0.0,0.18333333333333332,0.010618323936714021,0.0,0.22298480267099421
rbf,100,0.001,,False,0.5,0.9912698412698413,0.0016666666666666666,0.15,0.009357004859167952,0.004999999999999999,0.19649710204252657
rbf,100,0.001,balanced,False,0.5,0.9912698412698413,0.0016666666666666666,0.15,0.009357004859167952,0.004999999999999999,0.19649710204252657
rbf,10,0.001,balanced,False,0.2,0.9912698412698413,0.004166666666666667,0.1,0.010618323936714021,0.008936504412303007,0.15275252316519466
rbf,1,scale,,False,0.5,0.9904761904761905,0.0,0.2,0.011664236870396093,0.0,0.24494897427831783
rbf,1,scale,,False,0.2,0.9904761904761905,0.0008333333333333333,0.18333333333333332,0.010528967588429852,0.0036324157862838947,0.22298480267099421
rbf,1,scale,,True,0.5,0.9904761904761905,0.0008333333333333333,0.18333333333333332,0.010528967588429852,0.0036324157862838947,0.22298480267099421
rbf,1,0.01,,True,0.5,0.9904761904761905,0.0008333333333333333,0.18333333333333332,0.010528967588429852,0.0036324157862838947,0.22298480267099421
rbf,1,0.01,balanced,True,0.5,0.9904761904761905,0.0008333333333333333,0.18333333333333332,0.010528967588429852,0.0036324157862838947,0.22298480267099421
rbf,10,0.001,,False,0.5,0.9904761904761905,0.0008333333333333333,0.18333333333333332,0.010528967588429852,0.0036324157862838947,0.22298480267099421
rbf,1,0.001,balanced,False,0.2,0.9904761904761905,0.0016666666666666666,0.16666666666666666,0.00925547919816716,0.004999999999999999,0.19720265943665388
rbf,10,0.001,balanced,False,0.15,0.9904761904761905,0.005833333333333334,0.08333333333333333,0.013654484550861323,0.013202482931462383,0.14433756729740643
rbf,1,0.01,,False,0.5,0.9896825396825397,0.0,0.21666666666666665,0.012573793268059418,0.0,0.2640496586292476
rbf,1,0.01,,False,0.15,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.011528443687566635,0.004999999999999999,0.22298480267099421
rbf,1,0.001,,False,0.3,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,10,scale,,True,0.5,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,10,0.01,,True,0.5,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,10,scale,balanced,True,0.5,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,10,0.01,balanced,True,0.5,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,100,scale,,True,0.5,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,100,0.01,,True,0.5,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,100,scale,balanced,True,0.5,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,100,0.01,balanced,True,0.5,0.9896825396825397,0.0016666666666666666,0.18333333333333332,0.010378330817953998,0.004999999999999999,0.22298480267099421
rbf,10,0.001,,False,0.15,0.9896825396825397,0.005833333333333333,0.1,0.011528443687566649,0.01210486587194496,0.15275252316519466
rbf,100,0.001,,False,0.15,0.9896825396825397,0.0075,0.06666666666666667,0.013538668340660316,0.013411230782859235,0.13333333333333333
rbf,100,0.001,balanced,False,0.15,0.9896825396825397,0.0075,0.06666666666666667,0.013538668340660316,0.013411230782859235,0.13333333333333333
rbf,1,0.01,balanced,False,0.15,0.9888888888888889,0.0025,0.18333333333333332,0.013374840909803757,0.007949493345141214,0.22298480267099421
rbf,1,scale,balanced,True,0.5,0.9888888888888889,0.0025,0.18333333333333332,0.010163689265766438,0.00595119035711904,0.22298480267099421
rbf,10,scale,,False,0.15,0.9888888888888889,0.0025,0.18333333333333332,0.011335600680226755,0.005951190357119041,0.22298480267099421
